Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
SVC,0.5902,0.5587,0.5902,0.3734,0.6005,0.6106,0.5879,0.6106,0.5444,0.6315,0.6098,0.6315,0.5714,0.6506,0.5743,not-balanced,50,30,10,6,5,930,kbest,"['surprise', 'a_score']","{'surprise': 0.0, 'a_score': 0.1569}",SVC(probability=True)
SVC,0.591,0.557,0.591,0.3856,0.5747,0.621,0.6043,0.621,0.5578,0.6314,0.6095,0.6314,0.5713,0.6552,0.5744,not-balanced,60,30,10,6,3,531,kbest,"['surprise', 'joy', 'a_score']","{'surprise': -0.0, 'joy': 0.0002, 'a_score': 0.1479}",SVC(probability=True)
SVC,0.5839,0.548,0.5839,0.3823,0.5961,0.6149,0.5925,0.6149,0.5505,0.6312,0.6094,0.6312,0.5711,0.6628,0.5746,not-balanced,60,30,10,4,3,384,kbest,"['trust', 'surprise', 'a_score']","{'trust': -0.0001, 'surprise': -0.0, 'a_score': 0.1531}",SVC(probability=True)
SVC,0.6204,0.589,0.6204,0.397,0.5666,0.6178,0.6108,0.6178,0.5554,0.6312,0.6093,0.6312,0.5712,0.6612,0.5746,not-balanced,60,30,10,4,1,96,kbest,"['surprise', 'sadness', 'a_score']","{'surprise': 0.0001, 'sadness': 0.0009, 'a_score': 0.1499}",SVC(probability=True)
SVC,0.61,0.5826,0.61,0.3968,0.5997,0.6136,0.5893,0.6136,0.5485,0.6312,0.6094,0.6312,0.5711,0.6569,0.5746,not-balanced,60,30,10,9,2,645,kbest,"['trust', 'joy', 'a_score']","{'trust': -0.0001, 'joy': -0.0, 'a_score': 0.1508}",SVC(probability=True)
SVC,0.5852,0.5544,0.5852,0.3716,0.5774,0.625,0.6026,0.625,0.5615,0.6312,0.6094,0.6312,0.5711,0.6536,0.5746,not-balanced,50,30,10,2,2,825,kbest,"['sadness', 'a_score']","{'sadness': 0.0005, 'a_score': 0.15}",SVC(probability=True)
SVC,0.5926,0.5597,0.5926,0.382,0.5764,0.6243,0.6028,0.6243,0.5606,0.6311,0.609,0.6311,0.5711,0.6485,0.5747,not-balanced,60,30,10,6,2,803,kbest,"['surprise', 'sadness', 'a_score']","{'surprise': 0.0001, 'sadness': 0.0008, 'a_score': 0.1471}",SVC(probability=True)
SVC,0.5969,0.5652,0.5969,0.3878,0.5872,0.6193,0.5977,0.6193,0.5557,0.631,0.6089,0.631,0.5709,0.663,0.5749,not-balanced,60,30,10,7,4,695,kbest,"['trust', 'joy', 'a_score']","{'trust': 0.0002, 'joy': 0.0002, 'a_score': 0.1471}",SVC(probability=True)
SVC,0.5792,0.5424,0.5792,0.3821,0.5719,0.6252,0.603,0.6252,0.5609,0.6308,0.6087,0.6308,0.5708,0.6546,0.575,not-balanced,60,30,10,1,4,574,kbest,"['trust', 'sadness', 'a_score']","{'trust': 0.0001, 'sadness': 0.0006, 'a_score': 0.149}",SVC(probability=True)
SVC,0.6006,0.5689,0.6006,0.387,0.5923,0.6169,0.5949,0.6169,0.5531,0.6308,0.6087,0.6308,0.5708,0.6478,0.575,not-balanced,60,30,10,3,4,592,kbest,"['surprise', 'joy', 'a_score']","{'surprise': -0.0001, 'joy': -0.0001, 'a_score': 0.1522}",SVC(probability=True)
SVC,0.594,0.5637,0.594,0.3829,0.5923,0.6192,0.5939,0.6192,0.5554,0.6307,0.6084,0.6307,0.5707,0.6535,0.5751,not-balanced,60,30,10,9,3,913,kbest,"['surprise', 'joy', 'a_score']","{'surprise': 0.0004, 'joy': -0.0001, 'a_score': 0.1489}",SVC(probability=True)
SVC,0.5789,0.5359,0.5789,0.3774,0.5679,0.621,0.6047,0.621,0.5579,0.6301,0.6074,0.6301,0.5703,0.6406,0.5757,not-balanced,60,30,10,9,1,245,kbest,"['sadness', 'joy', 'a_score']","{'sadness': 0.0013, 'joy': -0.0, 'a_score': 0.1492}",SVC(probability=True)
SVC,0.5976,0.5641,0.5976,0.3854,0.5991,0.6106,0.5869,0.6106,0.5446,0.6298,0.6069,0.6298,0.5702,0.6527,0.576,not-balanced,60,30,10,2,5,480,kbest,"['surprise', 'sadness', 'a_score']","{'surprise': 0.0, 'sadness': 0.0002, 'a_score': 0.1509}",SVC(probability=True)
SVC,0.5727,0.5347,0.5727,0.3751,0.5869,0.6183,0.5937,0.6183,0.5537,0.6294,0.6064,0.6294,0.5697,0.6483,0.5764,not-balanced,60,30,10,7,1,346,kbest,"['trust', 'joy', 'a_score']","{'trust': 0.0004, 'joy': -0.0001, 'a_score': 0.1517}",SVC(probability=True)
SVC,0.6041,0.5755,0.6041,0.3863,0.5943,0.6186,0.5934,0.6186,0.5568,0.629,0.605,0.629,0.57,0.652,0.5768,not-balanced,60,30,10,8,3,25,kbest,"['surprise', 'sadness', 'a_score']","{'surprise': -0.0004, 'sadness': 0.0017, 'a_score': 0.1485}",SVC(probability=True)
SVC,0.5846,0.545,0.5846,0.3777,0.6014,0.6097,0.5863,0.6097,0.5438,0.6286,0.6049,0.6286,0.5691,0.6446,0.5773,not-balanced,60,30,10,6,5,930,kbest,"['surprise', 'joy', 'a_score']","{'surprise': -0.0016, 'joy': -0.0016, 'a_score': 0.1494}",SVC(probability=True)
SVC,0.5607,0.5189,0.5607,0.3718,0.5783,0.6196,0.5973,0.6196,0.5563,0.6286,0.6046,0.6286,0.5694,0.6475,0.5773,not-balanced,60,30,10,1,3,774,kbest,"['trust', 'sadness', 'a_score']","{'trust': 0.0003, 'sadness': 0.0018, 'a_score': 0.1532}",SVC(probability=True)
SVC,0.587,0.5516,0.587,0.3785,0.5991,0.6137,0.5847,0.6137,0.5494,0.6269,0.6023,0.6269,0.5677,0.6503,0.5789,not-balanced,60,30,10,4,4,865,kbest,"['trust', 'surprise', 'a_score']","{'trust': 0.0006, 'surprise': 0.0008, 'a_score': 0.1445}",SVC(probability=True)
