Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.8574,0.8844,0.8574,0.855,0.1463,0.8537,0.8826,0.8537,0.851,0.8612,0.8878,0.8612,0.8589,0.9431,0.1388,not-balanced,60,40,10,10,3,776,kbest,"['fear', 'surprise', 'a_score']","{'fear': 0.0025, 'surprise': 0.0042, 'a_score': 0.3573}",DecisionTreeClassifier()
DecisionTreeClassifier,0.859,0.885,0.859,0.8563,0.1489,0.8511,0.8821,0.8511,0.8485,0.8611,0.8877,0.8611,0.8588,0.9437,0.1389,not-balanced,60,40,10,5,2,562,kbest,"['fear', 'surprise', 'a_score']","{'fear': 0.0018, 'surprise': 0.0034, 'a_score': 0.3607}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8529,0.8748,0.8529,0.8509,0.1441,0.8559,0.8787,0.8559,0.8538,0.8603,0.8812,0.8603,0.8584,0.9412,0.1397,not-balanced,70,40,10,9,5,312,kbest,"['fear', 'trust', 'surprise', 'joy', 'a_score']","{'fear': 0.0031, 'trust': 0.0032, 'surprise': 0.005, 'joy': 0.0032, 'a_score': 0.3577}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8488,0.8709,0.8488,0.8467,0.1423,0.8577,0.8824,0.8577,0.8554,0.8601,0.884,0.8601,0.858,0.9424,0.1399,not-balanced,70,40,10,4,5,247,kbest,"['fear', 'anticipation', 'trust', 'surprise', 'a_score']","{'fear': 0.0041, 'anticipation': 0.0038, 'trust': 0.0047, 'surprise': 0.006, 'a_score': 0.3577}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8574,0.879,0.8574,0.8556,0.1506,0.8494,0.8752,0.8494,0.8468,0.86,0.8823,0.86,0.858,0.9449,0.14,not-balanced,70,40,10,1,1,417,kbest,"['fear', 'trust', 'surprise', 'joy', 'a_score']","{'fear': 0.0034, 'trust': 0.0042, 'surprise': 0.0053, 'joy': 0.0035, 'a_score': 0.3636}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8544,0.8808,0.8544,0.852,0.1461,0.8539,0.8791,0.8539,0.8516,0.8599,0.8836,0.8599,0.8578,0.945,0.1401,not-balanced,60,40,10,9,5,312,kbest,"['trust', 'surprise', 'a_score']","{'trust': 0.001, 'surprise': 0.0041, 'a_score': 0.3516}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8531,0.8699,0.8531,0.8511,0.1539,0.8461,0.8673,0.8461,0.8444,0.8598,0.8786,0.8598,0.8581,0.9414,0.1402,not-balanced,70,20,10,8,2,534,kbest,"['anticipation', 'surprise', 'sadness', 'joy', 'a_score']","{'anticipation': 0.01, 'surprise': 0.0042, 'sadness': 0.0071, 'joy': 0.008, 'a_score': 0.3603}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8524,0.8742,0.8524,0.8503,0.1463,0.8537,0.8767,0.8537,0.8516,0.8593,0.8802,0.8593,0.8575,0.9414,0.1407,not-balanced,70,40,10,9,1,325,kbest,"['fear', 'anticipation', 'trust', 'surprise', 'a_score']","{'fear': 0.0045, 'anticipation': 0.0038, 'trust': 0.0033, 'surprise': 0.0058, 'a_score': 0.3609}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8524,0.8726,0.8524,0.8506,0.1455,0.8545,0.8748,0.8545,0.8525,0.8593,0.8795,0.8593,0.8575,0.9419,0.1407,not-balanced,80,40,10,8,1,569,kbest,"['fear', 'anticipation', 'trust', 'surprise', 'joy', 'a_score']","{'fear': 0.0064, 'anticipation': 0.0072, 'trust': 0.0064, 'surprise': 0.0061, 'joy': 0.0061, 'a_score': 0.3631}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8512,0.8714,0.8512,0.8495,0.1464,0.8536,0.8767,0.8536,0.8512,0.859,0.8833,0.859,0.8569,0.945,0.141,not-balanced,60,40,10,5,1,714,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0026, 'trust': 0.0023, 'a_score': 0.358}",DecisionTreeClassifier()
