Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
GaussianNB,0.6329,0.6331,0.6329,0.6305,0.3431,0.6569,0.6573,0.6569,0.6567,0.6698,0.67,0.6698,0.6696,0.6276,0.3302,not-balanced,50,40,10,10,5,180,kbest,"['fear', 'a_score']","{'fear': 0.0064, 'a_score': 0.165}",GaussianNB()
GaussianNB,0.6125,0.6134,0.6125,0.6093,0.335,0.665,0.6658,0.665,0.6649,0.6698,0.67,0.6698,0.6696,0.6284,0.3302,not-balanced,50,40,10,4,4,864,kbest,"['fear', 'a_score']","{'fear': 0.0042, 'a_score': 0.1605}",GaussianNB()
GaussianNB,0.6303,0.6308,0.6303,0.628,0.339,0.661,0.6616,0.661,0.6608,0.6698,0.67,0.6698,0.6696,0.6276,0.3302,not-balanced,50,40,10,6,4,215,kbest,"['fear', 'a_score']","{'fear': 0.0071, 'a_score': 0.1599}",GaussianNB()
GaussianNB,0.6654,0.6657,0.6654,0.665,0.3389,0.6611,0.6614,0.6611,0.661,0.6698,0.67,0.6698,0.6696,0.6287,0.3302,not-balanced,50,40,10,1,4,764,kbest,"['fear', 'a_score']","{'fear': 0.0056, 'a_score': 0.1637}",GaussianNB()
GaussianNB,0.5853,0.5865,0.5853,0.5802,0.3386,0.6614,0.6623,0.6614,0.6612,0.6698,0.67,0.6698,0.6696,0.6295,0.3302,not-balanced,50,40,10,10,3,606,kbest,"['fear', 'a_score']","{'fear': 0.0047, 'a_score': 0.1589}",GaussianNB()
GaussianNB,0.6317,0.6319,0.6317,0.6291,0.3421,0.6579,0.6581,0.6579,0.6578,0.6698,0.67,0.6698,0.6696,0.6284,0.3302,not-balanced,50,40,10,5,3,551,kbest,"['fear', 'a_score']","{'fear': 0.0069, 'a_score': 0.1657}",GaussianNB()
GaussianNB,0.6659,0.666,0.6659,0.6656,0.3395,0.6605,0.6609,0.6605,0.6603,0.6698,0.67,0.6698,0.6696,0.6283,0.3302,not-balanced,50,40,10,1,2,615,kbest,"['fear', 'a_score']","{'fear': 0.0068, 'a_score': 0.1606}",GaussianNB()
GaussianNB,0.6322,0.6326,0.6322,0.6298,0.3398,0.6602,0.6604,0.6602,0.66,0.6698,0.67,0.6698,0.6696,0.6275,0.3302,not-balanced,50,40,10,5,2,217,kbest,"['fear', 'a_score']","{'fear': 0.0066, 'a_score': 0.1616}",GaussianNB()
GaussianNB,0.6616,0.6619,0.6616,0.6612,0.334,0.666,0.6666,0.666,0.6658,0.6694,0.6697,0.6694,0.6693,0.6281,0.3306,not-balanced,50,40,10,8,2,490,kbest,"['fear', 'a_score']","{'fear': 0.0089, 'a_score': 0.156}",GaussianNB()
GaussianNB,0.6164,0.6173,0.6164,0.6132,0.3379,0.6621,0.6627,0.6621,0.662,0.6678,0.6681,0.6678,0.6676,0.6297,0.3322,not-balanced,50,80,10,6,3,250,kbest,"['fear', 'a_score']","{'fear': 0.0056, 'a_score': 0.1625}",GaussianNB()
