Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.8406,0.8561,0.8406,0.8388,0.1461,0.8539,0.887,0.8539,0.8508,0.8547,0.8875,0.8547,0.8516,0.9278,0.1453,not-balanced,50,100,10,9,1,440,kbest,"['fear', 'a_score']","{'fear': 0.0001, 'a_score': 0.3534}",KNeighborsClassifier()
KNeighborsClassifier,0.8475,0.8754,0.8475,0.8446,0.1501,0.8499,0.8844,0.8499,0.8466,0.8547,0.8873,0.8547,0.8517,0.9429,0.1453,not-balanced,50,100,10,9,4,880,kbest,"['fear', 'a_score']","{'fear': 0.0005, 'a_score': 0.3569}",KNeighborsClassifier()
KNeighborsClassifier,0.8359,0.8526,0.8359,0.8338,0.1478,0.8522,0.8862,0.8522,0.8492,0.8547,0.8875,0.8547,0.8517,0.9381,0.1453,not-balanced,50,100,10,8,1,317,kbest,"['fear', 'a_score']","{'fear': 0.0002, 'a_score': 0.3524}",KNeighborsClassifier()
KNeighborsClassifier,0.8441,0.8525,0.8441,0.8432,0.1504,0.8496,0.8727,0.8496,0.8476,0.8545,0.8775,0.8545,0.8524,0.9309,0.1455,not-balanced,60,100,10,4,2,651,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0014, 'trust': 0.0001, 'a_score': 0.3494}",KNeighborsClassifier()
KNeighborsClassifier,0.8423,0.8525,0.8423,0.8411,0.1496,0.8504,0.8845,0.8504,0.8471,0.8544,0.8869,0.8544,0.8514,0.9382,0.1456,not-balanced,50,100,10,5,5,564,kbest,"['fear', 'a_score']","{'fear': -0.0001, 'a_score': 0.3548}",KNeighborsClassifier()
KNeighborsClassifier,0.8354,0.8513,0.8354,0.8333,0.1503,0.8497,0.8771,0.8497,0.8472,0.8544,0.8808,0.8544,0.852,0.9247,0.1456,not-balanced,60,100,10,7,5,505,kbest,"['fear', 'sadness', 'a_score']","{'fear': 0.0035, 'sadness': -0.0, 'a_score': 0.3546}",KNeighborsClassifier()
KNeighborsClassifier,0.8312,0.8538,0.8312,0.8282,0.1476,0.8524,0.8543,0.8524,0.8522,0.8543,0.856,0.8543,0.8541,0.9306,0.1457,not-balanced,50,100,10,6,4,267,kbest,"['fear', 'a_score']","{'fear': 0.0035, 'a_score': 0.3492}",KNeighborsClassifier()
KNeighborsClassifier,0.8442,0.8519,0.8442,0.8435,0.1508,0.8492,0.8837,0.8492,0.8459,0.8543,0.8867,0.8543,0.8513,0.9209,0.1457,not-balanced,50,100,10,1,2,647,kbest,"['fear', 'a_score']","{'fear': 0.0002, 'a_score': 0.354}",KNeighborsClassifier()
KNeighborsClassifier,0.834,0.8471,0.834,0.8324,0.1505,0.8495,0.8824,0.8495,0.8464,0.8542,0.8857,0.8542,0.8513,0.935,0.1458,not-balanced,60,100,10,8,3,329,kbest,"['fear', 'trust', 'a_score']","{'fear': -0.0003, 'trust': 0.0008, 'a_score': 0.3541}",KNeighborsClassifier()
KNeighborsClassifier,0.8381,0.8602,0.8381,0.8356,0.147,0.853,0.8548,0.853,0.8529,0.8542,0.8559,0.8542,0.8541,0.9347,0.1458,not-balanced,50,100,10,1,4,852,kbest,"['fear', 'a_score']","{'fear': 0.0035, 'a_score': 0.3503}",KNeighborsClassifier()
