Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
MLPClassifier,0.5301,0.5301,0.5301,0.5127,0.3242,0.6758,0.6796,0.6758,0.6741,0.6798,0.6839,0.6798,0.6778,0.6496,0.3202,not-balanced,50,100,10,3,3,474,kbest,"['fear', 'a_score']","{'fear': 0.0037, 'a_score': 0.1759}",MLPClassifier()
MLPClassifier,0.57,0.5755,0.57,0.5599,0.3373,0.6627,0.6661,0.6627,0.6607,0.666,0.6695,0.666,0.6641,0.6687,0.334,not-balanced,60,100,10,9,2,520,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0014, 'trust': 0.0021, 'a_score': 0.1659}",MLPClassifier()
MLPClassifier,0.5313,0.5363,0.5313,0.5161,0.3334,0.6666,0.6696,0.6666,0.6648,0.6642,0.6678,0.6642,0.6622,0.6719,0.3358,not-balanced,80,100,10,8,5,575,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': -0.0008, 'anticipation': 0.0024, 'trust': 0.0043, 'sadness': 0.0, 'disgust': 0.0029, 'a_score': 0.1585}",MLPClassifier()
MLPClassifier,0.5643,0.5665,0.5643,0.5557,0.3372,0.6628,0.6657,0.6628,0.6609,0.6616,0.6649,0.6616,0.6597,0.663,0.3384,not-balanced,60,100,10,4,4,437,kbest,"['fear', 'trust', 'a_score']","{'fear': -0.0, 'trust': 0.0011, 'a_score': 0.1566}",MLPClassifier()
MLPClassifier,0.5804,0.5848,0.5804,0.5732,0.352,0.648,0.649,0.648,0.6473,0.6568,0.658,0.6568,0.656,0.6739,0.3432,not-balanced,80,100,10,9,3,966,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': -0.0009, 'anticipation': 0.0066, 'trust': 0.0139, 'sadness': -0.0026, 'disgust': -0.0007, 'a_score': 0.15}",MLPClassifier()
MLPClassifier,0.5391,0.5425,0.5391,0.5302,0.3468,0.6532,0.6559,0.6532,0.6511,0.6563,0.6592,0.6563,0.6545,0.6732,0.3437,not-balanced,60,100,10,6,3,931,kbest,"['fear', 'sadness', 'a_score']","{'fear': -0.0103, 'sadness': -0.0102, 'a_score': 0.1546}",MLPClassifier()
MLPClassifier,0.5585,0.5603,0.5585,0.5512,0.3435,0.6565,0.6576,0.6565,0.6555,0.6561,0.6575,0.6561,0.6551,0.667,0.3439,not-balanced,80,100,10,3,4,581,kbest,"['fear', 'trust', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.002, 'trust': 0.0127, 'sadness': -0.0025, 'disgust': -0.0022, 'joy': 0.0054, 'a_score': 0.1473}",MLPClassifier()
MLPClassifier,0.5634,0.5712,0.5634,0.5521,0.3508,0.6492,0.6495,0.6492,0.6489,0.6555,0.6559,0.6555,0.6552,0.6724,0.3445,not-balanced,70,100,10,1,1,553,kbest,"['fear', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.0006, 'trust': 0.0095, 'sadness': 0.001, 'disgust': 0.0025, 'a_score': 0.1537}",MLPClassifier()
MLPClassifier,0.5635,0.5658,0.5635,0.5563,0.3468,0.6532,0.6582,0.6532,0.6509,0.6553,0.6586,0.6553,0.6533,0.6722,0.3447,not-balanced,70,100,10,6,1,904,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'a_score']","{'fear': -0.0002, 'anticipation': 0.0082, 'trust': 0.015, 'sadness': 0.0019, 'a_score': 0.1497}",MLPClassifier()
MLPClassifier,0.5672,0.5767,0.5672,0.5529,0.3443,0.6557,0.6618,0.6557,0.6519,0.655,0.6615,0.655,0.6511,0.6742,0.345,not-balanced,80,100,10,4,2,771,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.0025, 'anticipation': 0.0039, 'trust': 0.0057, 'sadness': 0.0063, 'disgust': 0.0042, 'a_score': 0.1505}",MLPClassifier()
MLPClassifier,0.5767,0.5915,0.5767,0.5613,0.3548,0.6452,0.6463,0.6452,0.6441,0.6542,0.6558,0.6542,0.6532,0.6915,0.3458,not-balanced,80,100,10,9,4,536,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.0016, 'anticipation': 0.0187, 'trust': 0.0202, 'sadness': 0.0012, 'disgust': 0.0023, 'a_score': 0.1493}",MLPClassifier()
MLPClassifier,0.5937,0.6044,0.5937,0.5823,0.3504,0.6496,0.6508,0.6496,0.6487,0.6531,0.6544,0.6531,0.6522,0.6704,0.3469,not-balanced,70,100,10,9,5,757,kbest,"['fear', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.0018, 'trust': 0.0085, 'sadness': 0.0024, 'disgust': -0.0026, 'a_score': 0.1483}",MLPClassifier()
MLPClassifier,0.5444,0.5455,0.5444,0.5337,0.3471,0.6529,0.6557,0.6529,0.6516,0.6531,0.6558,0.6531,0.6518,0.6614,0.3469,not-balanced,70,100,10,10,2,325,kbest,"['fear', 'trust', 'sadness', 'joy', 'a_score']","{'fear': -0.0027, 'trust': 0.0197, 'sadness': -0.0029, 'joy': 0.0172, 'a_score': 0.1508}",MLPClassifier()
MLPClassifier,0.5821,0.5833,0.5821,0.5794,0.3481,0.6519,0.6548,0.6519,0.6506,0.6523,0.6546,0.6523,0.6507,0.6742,0.3477,not-balanced,80,100,10,6,4,879,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': -0.0011, 'anticipation': 0.0081, 'trust': 0.0167, 'sadness': -0.0, 'disgust': 0.0019, 'a_score': 0.1461}",MLPClassifier()
MLPClassifier,0.5499,0.5629,0.5499,0.5302,0.3488,0.6512,0.6523,0.6512,0.6502,0.6512,0.6525,0.6512,0.6502,0.6692,0.3488,not-balanced,60,100,10,3,2,310,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0014, 'trust': 0.0072, 'a_score': 0.1442}",MLPClassifier()
