Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.8573,0.8852,0.8573,0.855,0.1463,0.8537,0.8812,0.8537,0.851,0.8616,0.8879,0.8616,0.8593,0.9461,0.1384,not-balanced,60,40,10,1,2,384,kbest,"['fear', 'surprise', 'a_score']","{'fear': 0.0024, 'surprise': 0.0036, 'a_score': 0.3571}",RandomForestClassifier()
RandomForestClassifier,0.8568,0.8811,0.8568,0.8548,0.1471,0.8529,0.8765,0.8529,0.8505,0.8606,0.8833,0.8606,0.8586,0.946,0.1394,not-balanced,70,40,10,1,2,384,kbest,"['fear', 'trust', 'surprise', 'joy', 'a_score']","{'fear': 0.0041, 'trust': 0.0031, 'surprise': 0.005, 'joy': 0.0039, 'a_score': 0.3617}",RandomForestClassifier()
RandomForestClassifier,0.8538,0.8789,0.8538,0.8518,0.1463,0.8537,0.8793,0.8537,0.851,0.8601,0.8845,0.8601,0.8579,0.9445,0.1399,not-balanced,70,40,10,4,2,401,kbest,"['fear', 'anticipation', 'trust', 'surprise', 'a_score']","{'fear': 0.0039, 'anticipation': 0.0036, 'trust': 0.0029, 'surprise': 0.0065, 'a_score': 0.3625}",RandomForestClassifier()
RandomForestClassifier,0.8521,0.8743,0.8521,0.8501,0.1436,0.8564,0.8784,0.8564,0.8544,0.8598,0.8809,0.8598,0.8579,0.9435,0.1402,not-balanced,70,40,10,10,5,848,kbest,"['fear', 'trust', 'surprise', 'joy', 'a_score']","{'fear': 0.0031, 'trust': 0.0036, 'surprise': 0.0059, 'joy': 0.0052, 'a_score': 0.3569}",RandomForestClassifier()
RandomForestClassifier,0.8506,0.8735,0.8506,0.8487,0.1421,0.8579,0.8788,0.8579,0.8558,0.8597,0.8813,0.8597,0.8577,0.9432,0.1403,not-balanced,70,40,10,6,1,389,kbest,"['fear', 'trust', 'surprise', 'joy', 'a_score']","{'fear': 0.0055, 'trust': 0.0046, 'surprise': 0.0055, 'joy': 0.005, 'a_score': 0.3605}",RandomForestClassifier()
RandomForestClassifier,0.8561,0.8792,0.8561,0.8538,0.149,0.851,0.8757,0.851,0.8488,0.8596,0.8813,0.8596,0.8576,0.9462,0.1404,not-balanced,70,40,10,10,4,866,kbest,"['fear', 'anticipation', 'trust', 'surprise', 'a_score']","{'fear': 0.0048, 'anticipation': 0.0042, 'trust': 0.005, 'surprise': 0.0062, 'a_score': 0.3601}",RandomForestClassifier()
RandomForestClassifier,0.8518,0.8735,0.8518,0.85,0.1467,0.8533,0.8741,0.8533,0.851,0.8594,0.8793,0.8594,0.8577,0.9448,0.1406,not-balanced,80,40,10,4,2,401,kbest,"['fear', 'anticipation', 'trust', 'surprise', 'joy', 'a_score']","{'fear': 0.0048, 'anticipation': 0.0057, 'trust': 0.0054, 'surprise': 0.0083, 'joy': 0.0058, 'a_score': 0.3622}",RandomForestClassifier()
RandomForestClassifier,0.8565,0.8827,0.8565,0.8539,0.1474,0.8526,0.8797,0.8526,0.8502,0.8593,0.8846,0.8593,0.8571,0.9456,0.1407,not-balanced,60,40,10,5,1,363,kbest,"['fear', 'surprise', 'a_score']","{'fear': 0.0029, 'surprise': 0.0044, 'a_score': 0.357}",RandomForestClassifier()
RandomForestClassifier,0.8582,0.8809,0.8582,0.8557,0.15,0.85,0.8755,0.85,0.8479,0.8592,0.8821,0.8592,0.8572,0.9472,0.1408,not-balanced,70,40,10,6,5,280,kbest,"['fear', 'trust', 'surprise', 'joy', 'a_score']","{'fear': 0.0033, 'trust': 0.0048, 'surprise': 0.0071, 'joy': 0.0053, 'a_score': 0.3636}",RandomForestClassifier()
RandomForestClassifier,0.8573,0.8803,0.8573,0.8554,0.1473,0.8527,0.8764,0.8527,0.8503,0.8591,0.8814,0.8591,0.8571,0.9464,0.1409,not-balanced,70,40,10,8,2,207,kbest,"['fear', 'anticipation', 'trust', 'surprise', 'a_score']","{'fear': 0.0053, 'anticipation': 0.0048, 'trust': 0.0044, 'surprise': 0.0066, 'a_score': 0.3621}",RandomForestClassifier()
