Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
SVC,0.5923,0.6776,0.5923,0.5398,0.4,0.6,0.6901,0.6,0.5465,0.6086,0.7034,0.6086,0.5583,0.5702,0.3914,not-balanced,70,40,10,8,4,387,kbest,"['fear', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': -0.0003, 'surprise': 0.0002, 'sadness': -0.0001, 'joy': 0.0001, 'a_score': 0.0964}",SVC(probability=True)
SVC,0.6024,0.6883,0.6024,0.5477,0.4138,0.5862,0.6854,0.5862,0.5301,0.6085,0.7044,0.6085,0.5578,0.6498,0.3915,not-balanced,50,40,10,5,5,906,kbest,"['fear', 'a_score']","{'fear': 0.0, 'a_score': 0.1}",SVC(probability=True)
SVC,0.5934,0.6864,0.5934,0.5417,0.4002,0.5998,0.6888,0.5998,0.5437,0.6085,0.7044,0.6085,0.5578,0.6333,0.3915,not-balanced,50,40,10,10,2,7,kbest,"['fear', 'a_score']","{'fear': 0.0, 'a_score': 0.097}",SVC(probability=True)
SVC,0.5941,0.6816,0.5941,0.5382,0.4013,0.5987,0.6949,0.5987,0.5459,0.6085,0.7044,0.6085,0.5578,0.6522,0.3915,not-balanced,50,40,10,1,5,621,kbest,"['fear', 'a_score']","{'fear': 0.0, 'a_score': 0.094}",SVC(probability=True)
SVC,0.5963,0.6878,0.5963,0.5426,0.4047,0.5953,0.6849,0.5953,0.5408,0.6085,0.7044,0.6085,0.5578,0.6371,0.3915,not-balanced,50,40,10,3,4,696,kbest,"['fear', 'a_score']","{'fear': 0.0, 'a_score': 0.0982}",SVC(probability=True)
SVC,0.5961,0.6852,0.5961,0.5415,0.4044,0.5956,0.6889,0.5956,0.5414,0.6085,0.7044,0.6085,0.5578,0.6626,0.3915,not-balanced,50,40,10,1,3,788,kbest,"['trust', 'a_score']","{'trust': 0.0, 'a_score': 0.0989}",SVC(probability=True)
SVC,0.595,0.6902,0.595,0.5446,0.403,0.597,0.6799,0.597,0.5401,0.6085,0.7044,0.6085,0.5578,0.6556,0.3915,not-balanced,60,40,10,10,5,127,kbest,"['anticipation', 'trust', 'a_score']","{'anticipation': -0.0001, 'trust': -0.0001, 'a_score': 0.1009}",SVC(probability=True)
SVC,0.5971,0.69,0.5971,0.5432,0.4058,0.5942,0.6825,0.5942,0.5398,0.6085,0.7044,0.6085,0.5578,0.6273,0.3915,not-balanced,50,40,10,2,4,262,kbest,"['trust', 'a_score']","{'trust': -0.0, 'a_score': 0.1031}",SVC(probability=True)
SVC,0.5952,0.6909,0.5952,0.5447,0.4032,0.5968,0.6795,0.5968,0.5399,0.6085,0.7044,0.6085,0.5578,0.6326,0.3915,not-balanced,50,40,10,10,5,127,kbest,"['anticipation', 'a_score']","{'anticipation': 0.0, 'a_score': 0.0984}",SVC(probability=True)
SVC,0.5988,0.6875,0.5988,0.5446,0.4084,0.5916,0.6861,0.5916,0.5362,0.6085,0.7044,0.6085,0.5578,0.6663,0.3915,not-balanced,50,40,10,1,4,79,kbest,"['fear', 'a_score']","{'fear': 0.0, 'a_score': 0.1011}",SVC(probability=True)
SVC,0.5929,0.6842,0.5929,0.5388,0.3998,0.6002,0.6898,0.6002,0.5467,0.6085,0.7044,0.6085,0.5578,0.6716,0.3915,not-balanced,60,40,10,2,3,398,kbest,"['fear', 'joy', 'a_score']","{'fear': 0.0, 'joy': -0.0, 'a_score': 0.0947}",SVC(probability=True)
SVC,0.5991,0.6922,0.5991,0.5453,0.4089,0.5911,0.6781,0.5911,0.5361,0.6085,0.7044,0.6085,0.5578,0.6818,0.3915,not-balanced,60,40,10,3,3,941,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0, 'trust': 0.0, 'a_score': 0.1011}",SVC(probability=True)
SVC,0.5949,0.6909,0.5949,0.5425,0.4025,0.5975,0.6806,0.5975,0.5427,0.6085,0.7044,0.6085,0.5578,0.6293,0.3915,not-balanced,50,40,10,4,3,286,kbest,"['fear', 'a_score']","{'fear': -0.0, 'a_score': 0.0998}",SVC(probability=True)
