Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.9116,0.9207,0.9116,0.8992,0.0846,0.9154,0.9239,0.9154,0.9126,0.9178,0.9264,0.9178,0.9152,0.9739,0.0822,not-balanced,70,70,10,3,5,133,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0014, 'trust': 0.0018, 'surprise': 0.0018, 'disgust': 0.0017, 'a_score': 0.3572}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9117,0.9194,0.9117,0.8996,0.0868,0.9132,0.92,0.9132,0.9106,0.9178,0.9247,0.9178,0.9155,0.9728,0.0822,not-balanced,80,70,10,6,4,304,kbest,"['fear', 'anger', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0029, 'anger': 0.0025, 'trust': 0.0026, 'surprise': 0.0019, 'disgust': 0.0063, 'a_score': 0.3594}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9135,0.9224,0.9135,0.902,0.0866,0.9134,0.9222,0.9134,0.9104,0.9176,0.926,0.9176,0.9151,0.9738,0.0824,not-balanced,70,70,10,4,4,69,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.001, 'trust': 0.0016, 'surprise': 0.0017, 'disgust': 0.0014, 'a_score': 0.3583}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9157,0.924,0.9157,0.9039,0.0892,0.9108,0.9199,0.9108,0.9078,0.9175,0.9258,0.9175,0.915,0.9722,0.0825,not-balanced,80,70,10,7,3,83,kbest,"['fear', 'anger', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0022, 'anger': 0.0015, 'trust': 0.002, 'surprise': 0.002, 'disgust': 0.0026, 'a_score': 0.3623}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9142,0.9231,0.9142,0.902,0.0879,0.9121,0.9222,0.9121,0.9091,0.9174,0.9266,0.9174,0.9148,0.9743,0.0826,not-balanced,70,70,10,5,2,276,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0011, 'trust': 0.001, 'surprise': 0.0007, 'disgust': 0.0009, 'a_score': 0.3577}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9134,0.921,0.9134,0.9009,0.0889,0.9111,0.919,0.9111,0.9084,0.9174,0.9242,0.9174,0.9151,0.9728,0.0826,not-balanced,70,70,10,7,1,845,kbest,"['fear', 'anticipation', 'trust', 'disgust', 'a_score']","{'fear': 0.0035, 'anticipation': 0.0019, 'trust': 0.0021, 'disgust': 0.0054, 'a_score': 0.3565}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9122,0.9215,0.9122,0.8993,0.0844,0.9156,0.9243,0.9156,0.913,0.9174,0.9261,0.9174,0.9148,0.9741,0.0826,not-balanced,70,70,10,9,5,80,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0017, 'trust': 0.0021, 'surprise': 0.0018, 'disgust': 0.0022, 'a_score': 0.3528}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9125,0.9211,0.9125,0.9003,0.0856,0.9144,0.9233,0.9144,0.9116,0.9174,0.926,0.9174,0.9148,0.9739,0.0826,not-balanced,70,70,10,6,4,304,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0011, 'trust': 0.0014, 'surprise': 0.0013, 'disgust': 0.0017, 'a_score': 0.3581}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9123,0.921,0.9123,0.9002,0.0854,0.9146,0.9232,0.9146,0.9118,0.9173,0.9257,0.9173,0.9147,0.974,0.0827,not-balanced,70,70,10,8,3,944,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0016, 'trust': 0.0022, 'surprise': 0.0013, 'disgust': 0.0023, 'a_score': 0.3583}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9119,0.9201,0.9119,0.8996,0.0868,0.9132,0.9211,0.9132,0.9105,0.9173,0.9248,0.9173,0.9148,0.974,0.0827,not-balanced,70,70,10,2,3,865,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0024, 'trust': 0.002, 'surprise': 0.0012, 'disgust': 0.0043, 'a_score': 0.3589}",DecisionTreeClassifier()
