Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
GaussianNB,0.8063,0.821,0.8063,0.7672,0.1836,0.8164,0.831,0.8164,0.8038,0.8208,0.8344,0.8208,0.8093,0.8621,0.1792,not-balanced,50,40,10,1,2,585,kbest,"['trust', 'a_score']","{'trust': -0.0021, 'a_score': 0.2293}",GaussianNB()
GaussianNB,0.8094,0.8217,0.8094,0.7711,0.1921,0.8079,0.8245,0.8079,0.7942,0.8208,0.8344,0.8208,0.8093,0.8406,0.1792,not-balanced,50,40,10,3,2,419,kbest,"['trust', 'a_score']","{'trust': 0.0008, 'a_score': 0.2329}",GaussianNB()
GaussianNB,0.8054,0.8198,0.8054,0.767,0.1869,0.8131,0.826,0.8131,0.8005,0.8199,0.8331,0.8199,0.8085,0.8561,0.1801,not-balanced,50,40,10,4,5,334,kbest,"['trust', 'a_score']","{'trust': 0.002, 'a_score': 0.2322}",GaussianNB()
GaussianNB,0.8106,0.8254,0.8106,0.7742,0.1938,0.8062,0.8187,0.8062,0.7924,0.8199,0.8331,0.8199,0.8085,0.8665,0.1801,not-balanced,50,40,10,5,1,852,kbest,"['trust', 'a_score']","{'trust': 0.0039, 'a_score': 0.2397}",GaussianNB()
GaussianNB,0.8072,0.8216,0.8072,0.7704,0.1907,0.8093,0.8212,0.8093,0.796,0.8199,0.8331,0.8199,0.8085,0.8499,0.1801,not-balanced,50,40,10,3,4,597,kbest,"['trust', 'a_score']","{'trust': 0.001, 'a_score': 0.2375}",GaussianNB()
GaussianNB,0.809,0.8232,0.809,0.7716,0.1927,0.8073,0.8196,0.8073,0.794,0.8199,0.8331,0.8199,0.8085,0.8633,0.1801,not-balanced,50,40,10,8,5,10,kbest,"['trust', 'a_score']","{'trust': 0.0004, 'a_score': 0.2379}",GaussianNB()
GaussianNB,0.8247,0.857,0.8247,0.7877,0.1724,0.8276,0.8643,0.8276,0.8111,0.8184,0.8588,0.8184,0.7997,0.842,0.1816,not-balanced,50,20,10,10,1,268,kbest,"['fear', 'a_score']","{'fear': 0.0003, 'a_score': 0.2541}",GaussianNB()
GaussianNB,0.8054,0.8244,0.8054,0.7638,0.1869,0.8131,0.8314,0.8131,0.7989,0.8183,0.8372,0.8183,0.805,0.8545,0.1817,not-balanced,60,40,10,1,2,585,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0025, 'trust': 0.0003, 'a_score': 0.2289}",GaussianNB()
GaussianNB,0.8151,0.833,0.8151,0.7744,0.1862,0.8138,0.8304,0.8138,0.8014,0.8165,0.831,0.8165,0.8043,0.8623,0.1835,not-balanced,50,80,10,3,3,350,kbest,"['trust', 'a_score']","{'trust': -0.0002, 'a_score': 0.2348}",GaussianNB()
GaussianNB,0.7928,0.8041,0.7928,0.7659,0.1866,0.8134,0.8313,0.8134,0.7999,0.8165,0.8327,0.8165,0.8037,0.835,0.1835,not-balanced,60,70,10,2,1,496,kbest,"['trust', 'disgust', 'a_score']","{'trust': 0.0016, 'disgust': 0.0011, 'a_score': 0.236}",GaussianNB()
GaussianNB,0.8108,0.8235,0.8108,0.7745,0.1879,0.8121,0.8242,0.8121,0.7997,0.8159,0.8283,0.8159,0.8042,0.8407,0.1841,not-balanced,50,70,10,2,2,474,kbest,"['trust', 'a_score']","{'trust': 0.0018, 'a_score': 0.2409}",GaussianNB()
GaussianNB,0.8081,0.821,0.8081,0.7712,0.1828,0.8172,0.8292,0.8172,0.8054,0.8159,0.8283,0.8159,0.8042,0.8485,0.1841,not-balanced,50,70,10,7,4,653,kbest,"['trust', 'a_score']","{'trust': 0.0003, 'a_score': 0.2362}",GaussianNB()
GaussianNB,0.8112,0.8246,0.8112,0.7736,0.186,0.814,0.8266,0.814,0.8022,0.8159,0.8283,0.8159,0.8042,0.8385,0.1841,not-balanced,50,70,10,9,5,302,kbest,"['trust', 'a_score']","{'trust': 0.0009, 'a_score': 0.2351}",GaussianNB()
GaussianNB,0.8087,0.8352,0.8087,0.7724,0.1794,0.8206,0.8603,0.8206,0.8028,0.8157,0.8572,0.8157,0.7963,0.8301,0.1843,not-balanced,60,10,10,6,5,408,kbest,"['fear', 'disgust', 'a_score']","{'fear': 0.0, 'disgust': -0.0005, 'a_score': 0.2448}",GaussianNB()
GaussianNB,0.8067,0.8201,0.8067,0.7688,0.1979,0.8021,0.8152,0.8021,0.7878,0.8157,0.8298,0.8157,0.8035,0.8487,0.1843,not-balanced,60,40,10,7,2,513,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0003, 'trust': 0.0015, 'a_score': 0.2301}",GaussianNB()
GaussianNB,0.8099,0.841,0.8099,0.772,0.1794,0.8206,0.8603,0.8206,0.8028,0.8157,0.8572,0.8157,0.7963,0.8307,0.1843,not-balanced,50,10,10,6,5,408,kbest,"['disgust', 'a_score']","{'disgust': -0.0004, 'a_score': 0.2429}",GaussianNB()
GaussianNB,0.8131,0.8269,0.8131,0.7758,0.1885,0.8115,0.8254,0.8115,0.7988,0.8155,0.8294,0.8155,0.8033,0.8523,0.1845,not-balanced,50,80,10,4,1,471,kbest,"['trust', 'a_score']","{'trust': 0.001, 'a_score': 0.2378}",GaussianNB()
GaussianNB,0.8112,0.8249,0.8112,0.7732,0.1873,0.8127,0.826,0.8127,0.8006,0.8155,0.8294,0.8155,0.8033,0.8629,0.1845,not-balanced,50,80,10,6,2,776,kbest,"['trust', 'a_score']","{'trust': 0.0002, 'a_score': 0.2376}",GaussianNB()
GaussianNB,0.8118,0.8256,0.8118,0.7748,0.187,0.813,0.8265,0.813,0.8004,0.8155,0.8294,0.8155,0.8033,0.8396,0.1845,not-balanced,50,80,10,1,2,187,kbest,"['trust', 'a_score']","{'trust': 0.0011, 'a_score': 0.2371}",GaussianNB()
GaussianNB,0.8141,0.8276,0.8141,0.7772,0.19,0.81,0.8244,0.81,0.7969,0.8155,0.8294,0.8155,0.8033,0.8653,0.1845,not-balanced,50,80,10,6,3,361,kbest,"['trust', 'a_score']","{'trust': 0.0007, 'a_score': 0.241}",GaussianNB()
GaussianNB,0.814,0.8278,0.814,0.7774,0.1899,0.8101,0.8238,0.8101,0.7971,0.8155,0.8294,0.8155,0.8033,0.8446,0.1845,not-balanced,50,80,10,3,1,121,kbest,"['trust', 'a_score']","{'trust': 0.002, 'a_score': 0.2387}",GaussianNB()
GaussianNB,0.8033,0.826,0.8033,0.7718,0.1771,0.8229,0.8614,0.8229,0.805,0.8153,0.8569,0.8153,0.7957,0.8458,0.1847,not-balanced,50,10,10,3,3,221,kbest,"['surprise', 'a_score']","{'surprise': 0.0014, 'a_score': 0.2447}",GaussianNB()
GaussianNB,0.8033,0.826,0.8033,0.7718,0.1771,0.8229,0.8614,0.8229,0.805,0.8153,0.8569,0.8153,0.7957,0.8458,0.1847,not-balanced,50,10,10,2,3,221,kbest,"['surprise', 'a_score']","{'surprise': 0.0009, 'a_score': 0.2454}",GaussianNB()
GaussianNB,0.8101,0.8229,0.8101,0.7729,0.1885,0.8115,0.8241,0.8115,0.7991,0.8148,0.8283,0.8148,0.8027,0.8594,0.1852,not-balanced,50,80,10,4,3,426,kbest,"['trust', 'a_score']","{'trust': 0.0019, 'a_score': 0.2375}",GaussianNB()
GaussianNB,0.8098,0.8223,0.8098,0.7715,0.187,0.813,0.8269,0.813,0.8009,0.8148,0.8283,0.8148,0.8027,0.8595,0.1852,not-balanced,50,80,10,10,1,957,kbest,"['trust', 'a_score']","{'trust': 0.0012, 'a_score': 0.2352}",GaussianNB()
GaussianNB,0.8118,0.8242,0.8118,0.7741,0.1905,0.8095,0.8232,0.8095,0.797,0.8148,0.8283,0.8148,0.8027,0.8382,0.1852,not-balanced,50,80,10,5,4,215,kbest,"['trust', 'a_score']","{'trust': 0.0012, 'a_score': 0.2369}",GaussianNB()
GaussianNB,0.8084,0.841,0.8084,0.7672,0.1794,0.8206,0.8603,0.8206,0.803,0.8148,0.8567,0.8148,0.7952,0.8537,0.1852,not-balanced,50,10,10,9,1,700,kbest,"['disgust', 'a_score']","{'disgust': 0.0002, 'a_score': 0.2379}",GaussianNB()
GaussianNB,0.8153,0.8271,0.8153,0.7781,0.1954,0.8046,0.8192,0.8046,0.7913,0.8148,0.8283,0.8148,0.8027,0.8635,0.1852,not-balanced,50,80,10,10,2,652,kbest,"['trust', 'a_score']","{'trust': 0.0021, 'a_score': 0.2399}",GaussianNB()
GaussianNB,0.8177,0.8585,0.8177,0.7701,0.1735,0.8265,0.8638,0.8265,0.81,0.8148,0.8567,0.8148,0.7952,0.8536,0.1852,not-balanced,50,10,10,10,3,190,kbest,"['disgust', 'a_score']","{'disgust': -0.0004, 'a_score': 0.2393}",GaussianNB()
GaussianNB,0.8074,0.8202,0.8074,0.7694,0.1843,0.8157,0.8287,0.8157,0.8038,0.8148,0.8283,0.8148,0.8027,0.8358,0.1852,not-balanced,50,80,10,9,3,878,kbest,"['trust', 'a_score']","{'trust': 0.0002, 'a_score': 0.2343}",GaussianNB()
GaussianNB,0.8129,0.8251,0.8129,0.776,0.1922,0.8078,0.8217,0.8078,0.7948,0.8148,0.8283,0.8148,0.8027,0.8376,0.1852,not-balanced,50,80,10,2,4,378,kbest,"['trust', 'a_score']","{'trust': 0.0018, 'a_score': 0.2376}",GaussianNB()
GaussianNB,0.8271,0.8628,0.8271,0.7823,0.1776,0.8224,0.8616,0.8224,0.8056,0.8148,0.8567,0.8148,0.7952,0.8767,0.1852,not-balanced,50,10,10,5,3,976,kbest,"['trust', 'a_score']","{'trust': 0.0001, 'a_score': 0.2436}",GaussianNB()
GaussianNB,0.8014,0.8134,0.8014,0.7632,0.1915,0.8085,0.8186,0.8085,0.7962,0.8147,0.8251,0.8147,0.8037,0.8492,0.1853,not-balanced,50,40,10,2,1,949,kbest,"['trust', 'a_score']","{'trust': -0.0016, 'a_score': 0.2272}",GaussianNB()
