Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.9045,0.9085,0.9045,0.8924,0.0927,0.9073,0.9129,0.9073,0.9048,0.907,0.9123,0.907,0.9045,0.9674,0.093,not-balanced,80,100,10,2,3,91,kbest,"['fear', 'trust', 'surprise', 'disgust', 'joy', 'a_score']","{'fear': 0.002, 'trust': 0.0048, 'surprise': 0.0027, 'disgust': 0.0029, 'joy': 0.007, 'a_score': 0.3552}",KNeighborsClassifier()
KNeighborsClassifier,0.8968,0.9056,0.8968,0.8869,0.0941,0.9059,0.9125,0.9059,0.9031,0.9065,0.9126,0.9065,0.9038,0.9684,0.0935,not-balanced,80,100,10,7,4,103,kbest,"['fear', 'anger', 'trust', 'disgust', 'joy', 'a_score']","{'fear': 0.0022, 'anger': 0.003, 'trust': 0.0034, 'disgust': 0.0034, 'joy': 0.0017, 'a_score': 0.3546}",KNeighborsClassifier()
KNeighborsClassifier,0.9001,0.9068,0.9001,0.8894,0.0926,0.9074,0.913,0.9074,0.9049,0.9062,0.9116,0.9062,0.9037,0.9616,0.0938,not-balanced,80,100,10,3,2,688,kbest,"['fear', 'trust', 'surprise', 'disgust', 'joy', 'a_score']","{'fear': 0.002, 'trust': 0.0052, 'surprise': 0.0021, 'disgust': 0.0044, 'joy': 0.004, 'a_score': 0.3551}",KNeighborsClassifier()
KNeighborsClassifier,0.8934,0.9009,0.8934,0.8838,0.0919,0.9081,0.9143,0.9081,0.9055,0.9057,0.9121,0.9057,0.903,0.9631,0.0943,not-balanced,80,100,10,10,5,15,kbest,"['fear', 'anger', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0039, 'anger': 0.0081, 'trust': 0.0042, 'surprise': 0.0026, 'disgust': 0.0074, 'a_score': 0.3556}",KNeighborsClassifier()
KNeighborsClassifier,0.8911,0.9004,0.8911,0.8818,0.0926,0.9074,0.9136,0.9074,0.9047,0.9056,0.9124,0.9056,0.9027,0.9611,0.0944,not-balanced,80,100,10,6,3,720,kbest,"['fear', 'anger', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0025, 'anger': 0.0055, 'trust': 0.0033, 'surprise': 0.0048, 'disgust': 0.0046, 'a_score': 0.3515}",KNeighborsClassifier()
KNeighborsClassifier,0.9064,0.9116,0.9064,0.8937,0.094,0.906,0.911,0.906,0.9036,0.9054,0.9108,0.9054,0.9029,0.9565,0.0946,not-balanced,80,100,10,3,1,976,kbest,"['fear', 'anger', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0038, 'anger': 0.0054, 'trust': 0.0046, 'surprise': 0.003, 'disgust': 0.0063, 'a_score': 0.3519}",KNeighborsClassifier()
KNeighborsClassifier,0.8877,0.8962,0.8877,0.8792,0.089,0.911,0.9173,0.911,0.9084,0.9054,0.9123,0.9054,0.9025,0.9675,0.0946,not-balanced,80,100,10,10,4,71,kbest,"['fear', 'anger', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0015, 'anger': 0.0035, 'trust': 0.0035, 'surprise': 0.0035, 'disgust': 0.0021, 'a_score': 0.3576}",KNeighborsClassifier()
KNeighborsClassifier,0.8877,0.8962,0.8877,0.8792,0.089,0.911,0.9173,0.911,0.9084,0.9054,0.9123,0.9054,0.9025,0.9675,0.0946,not-balanced,80,100,10,5,2,71,kbest,"['fear', 'anger', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0017, 'anger': 0.0035, 'trust': 0.0038, 'surprise': 0.0035, 'disgust': 0.0016, 'a_score': 0.3549}",KNeighborsClassifier()
KNeighborsClassifier,0.891,0.8993,0.891,0.8817,0.0945,0.9055,0.9104,0.9055,0.903,0.9047,0.9098,0.9047,0.9021,0.9676,0.0953,not-balanced,80,100,10,9,4,868,kbest,"['fear', 'anticipation', 'trust', 'disgust', 'joy', 'a_score']","{'fear': 0.0032, 'anticipation': 0.0035, 'trust': 0.0044, 'disgust': 0.0015, 'joy': 0.0049, 'a_score': 0.3545}",KNeighborsClassifier()
KNeighborsClassifier,0.8905,0.8988,0.8905,0.8814,0.0931,0.9069,0.9111,0.9069,0.9046,0.9046,0.9089,0.9046,0.9022,0.9665,0.0954,not-balanced,80,100,10,6,5,935,kbest,"['fear', 'trust', 'surprise', 'sadness', 'disgust', 'a_score']","{'fear': 0.003, 'trust': 0.003, 'surprise': 0.003, 'sadness': 0.0076, 'disgust': 0.0008, 'a_score': 0.3556}",KNeighborsClassifier()
