Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
LogisticRegression,0.7798,0.7804,0.7798,0.7629,0.2139,0.7861,0.7858,0.7861,0.786,0.7799,0.7807,0.7799,0.7803,0.8206,0.2201,not-balanced,80,100,10,3,5,263,kbest,"['fear', 'trust', 'surprise', 'disgust', 'joy', 'a_score']","{'fear': -0.0019, 'trust': 0.0009, 'surprise': -0.0009, 'disgust': -0.0023, 'joy': 0.0001, 'a_score': 0.2407}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7799,0.7804,0.7799,0.763,0.2139,0.7861,0.7857,0.7861,0.7859,0.7796,0.7803,0.7796,0.7799,0.8205,0.2204,not-balanced,70,100,10,3,5,263,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': -0.0019, 'trust': 0.0007, 'surprise': -0.0009, 'disgust': -0.0022, 'a_score': 0.2398}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7831,0.783,0.7831,0.7662,0.2185,0.7815,0.7817,0.7815,0.7816,0.7796,0.7803,0.7796,0.7799,0.8221,0.2204,not-balanced,70,100,10,3,1,713,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': -0.0006, 'trust': -0.0003, 'surprise': -0.0014, 'disgust': -0.0025, 'a_score': 0.2426}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7832,0.784,0.7832,0.7666,0.2204,0.7796,0.7799,0.7796,0.7798,0.7792,0.7803,0.7792,0.7797,0.824,0.2208,not-balanced,80,100,10,10,1,301,kbest,"['fear', 'anticipation', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': -0.0017, 'anticipation': -0.0004, 'trust': 0.0005, 'surprise': -0.0004, 'disgust': -0.0025, 'a_score': 0.2432}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7792,0.7797,0.7792,0.7622,0.2139,0.7861,0.7862,0.7861,0.7861,0.7792,0.7803,0.7792,0.7797,0.8197,0.2208,not-balanced,80,100,10,2,4,336,kbest,"['fear', 'anticipation', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': -0.0016, 'anticipation': -0.0001, 'trust': -0.0002, 'surprise': -0.0017, 'disgust': -0.0036, 'a_score': 0.24}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7814,0.7822,0.7814,0.7646,0.2177,0.7823,0.7826,0.7823,0.7824,0.7791,0.7804,0.7791,0.7796,0.8235,0.2209,not-balanced,70,100,10,8,5,89,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': -0.002, 'trust': -0.0002, 'surprise': -0.0007, 'disgust': -0.0032, 'a_score': 0.2413}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7827,0.7828,0.7827,0.7655,0.2183,0.7817,0.7824,0.7817,0.782,0.779,0.7801,0.779,0.7795,0.8209,0.221,not-balanced,70,100,10,1,3,440,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': -0.0014, 'trust': 0.0006, 'surprise': -0.0006, 'disgust': -0.0021, 'a_score': 0.2395}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7833,0.7833,0.7833,0.7665,0.2186,0.7814,0.7818,0.7814,0.7816,0.779,0.78,0.779,0.7795,0.8221,0.221,not-balanced,80,100,10,3,1,713,kbest,"['fear', 'anger', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': -0.0014, 'anger': -0.0002, 'trust': -0.0003, 'surprise': -0.0011, 'disgust': -0.0023, 'a_score': 0.242}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7802,0.7812,0.7802,0.7636,0.2176,0.7824,0.7826,0.7824,0.7825,0.779,0.78,0.779,0.7795,0.8233,0.221,not-balanced,70,100,10,10,4,611,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': -0.0024, 'trust': 0.0001, 'surprise': -0.0018, 'disgust': -0.0034, 'a_score': 0.2401}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7841,0.7845,0.7841,0.7672,0.2209,0.7791,0.7796,0.7791,0.7794,0.779,0.7803,0.779,0.7796,0.8239,0.221,not-balanced,70,100,10,10,1,301,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': -0.0016, 'trust': 0.0004, 'surprise': -0.0009, 'disgust': -0.0029, 'a_score': 0.2419}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7833,0.7832,0.7833,0.7665,0.2201,0.7799,0.7812,0.7799,0.7805,0.7789,0.7802,0.7789,0.7795,0.82,0.2211,not-balanced,80,100,10,4,2,610,kbest,"['fear', 'anger', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': -0.0025, 'anger': 0.0001, 'trust': -0.0002, 'surprise': -0.0009, 'disgust': -0.003, 'a_score': 0.2451}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7832,0.7835,0.7832,0.7658,0.2192,0.7808,0.7812,0.7808,0.781,0.7789,0.7801,0.7789,0.7794,0.8229,0.2211,not-balanced,70,100,10,9,3,438,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': -0.0019, 'trust': 0.0004, 'surprise': -0.0015, 'disgust': -0.0031, 'a_score': 0.244}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
