Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
MLPClassifier,0.8621,0.8813,0.8621,0.839,0.1037,0.8963,0.9108,0.8963,0.8917,0.8954,0.9101,0.8954,0.8906,0.933,0.1046,not-balanced,60,100,10,8,2,527,kbest,"['trust', 'disgust', 'a_score']","{'trust': 0.0002, 'disgust': 0.0003, 'a_score': 0.3343}",MLPClassifier()
MLPClassifier,0.8559,0.8745,0.8559,0.8345,0.1034,0.8966,0.9111,0.8966,0.892,0.8948,0.9097,0.8948,0.8899,0.9358,0.1052,not-balanced,60,100,10,7,5,217,kbest,"['trust', 'disgust', 'a_score']","{'trust': 0.0004, 'disgust': 0.0, 'a_score': 0.3305}",MLPClassifier()
MLPClassifier,0.867,0.8866,0.867,0.842,0.1045,0.8955,0.9069,0.8955,0.8913,0.8947,0.9065,0.8947,0.8904,0.9387,0.1053,not-balanced,80,100,10,8,2,527,kbest,"['fear', 'trust', 'surprise', 'disgust', 'joy', 'a_score']","{'fear': 0.0013, 'trust': 0.0004, 'surprise': 0.0007, 'disgust': 0.0038, 'joy': 0.0002, 'a_score': 0.3368}",MLPClassifier()
MLPClassifier,0.8687,0.8842,0.8687,0.8451,0.1064,0.8936,0.9077,0.8936,0.889,0.8924,0.9067,0.8924,0.8875,0.9388,0.1076,not-balanced,80,100,10,4,5,355,kbest,"['fear', 'anticipation', 'trust', 'disgust', 'joy', 'a_score']","{'fear': 0.0006, 'anticipation': 0.0008, 'trust': 0.0036, 'disgust': -0.0001, 'joy': 0.0015, 'a_score': 0.3323}",MLPClassifier()
MLPClassifier,0.854,0.8702,0.854,0.8324,0.1071,0.8929,0.9078,0.8929,0.8879,0.8916,0.9069,0.8916,0.8866,0.9315,0.1084,not-balanced,80,100,10,9,4,505,kbest,"['fear', 'trust', 'surprise', 'disgust', 'joy', 'a_score']","{'fear': 0.0008, 'trust': 0.0041, 'surprise': 0.0007, 'disgust': 0.0005, 'joy': 0.0012, 'a_score': 0.3291}",MLPClassifier()
MLPClassifier,0.8676,0.8878,0.8676,0.8427,0.109,0.891,0.904,0.891,0.8863,0.8903,0.9034,0.8903,0.8855,0.9381,0.1097,not-balanced,70,100,10,8,2,527,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0028, 'trust': 0.0011, 'surprise': 0.002, 'disgust': 0.0038, 'a_score': 0.3305}",MLPClassifier()
MLPClassifier,0.8646,0.8842,0.8646,0.8396,0.1059,0.8941,0.9052,0.8941,0.8898,0.8902,0.9021,0.8902,0.8855,0.9381,0.1098,not-balanced,80,100,10,3,4,65,kbest,"['fear', 'anger', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.0015, 'anger': 0.0018, 'trust': 0.0023, 'sadness': 0.0005, 'disgust': 0.0025, 'a_score': 0.3295}",MLPClassifier()
MLPClassifier,0.856,0.8741,0.856,0.8309,0.111,0.889,0.9014,0.889,0.8843,0.889,0.9016,0.889,0.8842,0.9351,0.111,not-balanced,80,100,10,7,2,418,kbest,"['fear', 'anticipation', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0026, 'anticipation': 0.0037, 'trust': 0.0015, 'surprise': 0.0033, 'disgust': 0.0025, 'a_score': 0.3322}",MLPClassifier()
MLPClassifier,0.8596,0.8779,0.8596,0.8328,0.1116,0.8884,0.9045,0.8884,0.883,0.8883,0.9042,0.8883,0.8828,0.9325,0.1117,not-balanced,70,100,10,7,2,418,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.002, 'trust': 0.0034, 'surprise': 0.0025, 'disgust': 0.0003, 'a_score': 0.3255}",MLPClassifier()
MLPClassifier,0.8491,0.8659,0.8491,0.8276,0.109,0.891,0.9055,0.891,0.8859,0.8878,0.9028,0.8878,0.8824,0.9313,0.1122,not-balanced,80,100,10,6,1,159,kbest,"['fear', 'trust', 'surprise', 'sadness', 'disgust', 'a_score']","{'fear': 0.0032, 'trust': 0.0033, 'surprise': 0.0021, 'sadness': 0.0015, 'disgust': 0.0014, 'a_score': 0.3271}",MLPClassifier()
MLPClassifier,0.8415,0.8602,0.8415,0.8191,0.1086,0.8914,0.9064,0.8914,0.8862,0.8877,0.9039,0.8877,0.8822,0.9273,0.1123,not-balanced,70,100,10,4,4,586,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0028, 'trust': 0.0031, 'surprise': 0.0019, 'disgust': 0.0016, 'a_score': 0.3246}",MLPClassifier()
MLPClassifier,0.8541,0.8694,0.8541,0.83,0.1083,0.8917,0.9039,0.8917,0.887,0.8875,0.9007,0.8875,0.8825,0.9328,0.1125,not-balanced,80,100,10,9,2,65,kbest,"['fear', 'anger', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.0039, 'anger': 0.0035, 'trust': 0.004, 'sadness': 0.0016, 'disgust': 0.0035, 'a_score': 0.3271}",MLPClassifier()
MLPClassifier,0.859,0.8766,0.859,0.833,0.1082,0.8918,0.9051,0.8918,0.887,0.8874,0.9014,0.8874,0.8822,0.9336,0.1126,not-balanced,70,100,10,9,5,553,kbest,"['fear', 'anger', 'trust', 'disgust', 'a_score']","{'fear': 0.0021, 'anger': 0.0027, 'trust': 0.0021, 'disgust': 0.0028, 'a_score': 0.3265}",MLPClassifier()
MLPClassifier,0.8536,0.8699,0.8536,0.8323,0.1114,0.8886,0.9012,0.8886,0.8839,0.8856,0.8989,0.8856,0.8804,0.9355,0.1144,not-balanced,80,100,10,8,5,876,kbest,"['fear', 'anticipation', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0036, 'anticipation': 0.0035, 'trust': 0.0037, 'surprise': 0.0024, 'disgust': 0.0043, 'a_score': 0.3236}",MLPClassifier()
MLPClassifier,0.8596,0.8793,0.8596,0.8366,0.129,0.871,0.8923,0.871,0.863,0.8676,0.89,0.8676,0.8593,0.9369,0.1324,not-balanced,70,100,10,6,2,664,kbest,"['fear', 'anticipation', 'trust', 'disgust', 'a_score']","{'fear': 0.0001, 'anticipation': 0.0017, 'trust': 0.0019, 'disgust': -0.001, 'a_score': 0.2984}",MLPClassifier()
MLPClassifier,0.8645,0.8839,0.8645,0.8407,0.1344,0.8656,0.8865,0.8656,0.8576,0.8661,0.8871,0.8661,0.8579,0.9394,0.1339,not-balanced,70,100,10,3,2,177,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0012, 'trust': 0.001, 'surprise': 0.0001, 'disgust': 0.0021, 'a_score': 0.2995}",MLPClassifier()
MLPClassifier,0.8508,0.8663,0.8508,0.8304,0.1325,0.8675,0.8875,0.8675,0.8595,0.8658,0.8867,0.8658,0.8576,0.9334,0.1342,not-balanced,80,100,10,10,1,553,kbest,"['fear', 'anger', 'anticipation', 'trust', 'disgust', 'a_score']","{'fear': 0.0003, 'anger': 0.001, 'anticipation': 0.001, 'trust': 0.001, 'disgust': 0.0004, 'a_score': 0.2966}",MLPClassifier()
MLPClassifier,0.8625,0.8807,0.8625,0.838,0.1286,0.8714,0.8894,0.8714,0.8641,0.8656,0.8857,0.8656,0.8575,0.9369,0.1344,not-balanced,80,100,10,5,2,282,kbest,"['fear', 'trust', 'surprise', 'disgust', 'joy', 'a_score']","{'fear': 0.0015, 'trust': 0.0013, 'surprise': 0.0009, 'disgust': 0.0022, 'joy': 0.0005, 'a_score': 0.2947}",MLPClassifier()
MLPClassifier,0.8543,0.8708,0.8543,0.831,0.1324,0.8676,0.8894,0.8676,0.8593,0.8654,0.8879,0.8654,0.8568,0.9315,0.1346,not-balanced,80,100,10,6,5,489,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.0006, 'anticipation': 0.0007, 'trust': 0.0009, 'sadness': 0.0002, 'disgust': -0.0001, 'a_score': 0.2968}",MLPClassifier()
MLPClassifier,0.8501,0.8636,0.8501,0.8272,0.1322,0.8678,0.8887,0.8678,0.8597,0.8653,0.8872,0.8653,0.8569,0.9309,0.1347,not-balanced,80,100,10,9,5,553,kbest,"['fear', 'anger', 'anticipation', 'trust', 'disgust', 'a_score']","{'fear': 0.0002, 'anger': 0.0002, 'anticipation': 0.0001, 'trust': 0.0002, 'disgust': 0.0002, 'a_score': 0.296}",MLPClassifier()
MLPClassifier,0.8514,0.8717,0.8514,0.8313,0.1356,0.8644,0.8883,0.8644,0.8556,0.8651,0.8887,0.8651,0.8563,0.9341,0.1349,not-balanced,60,100,10,4,3,212,kbest,"['trust', 'disgust', 'a_score']","{'trust': 0.0, 'disgust': 0.0, 'a_score': 0.2957}",MLPClassifier()
MLPClassifier,0.8495,0.8698,0.8495,0.8298,0.1317,0.8683,0.8909,0.8683,0.8599,0.8651,0.8887,0.8651,0.8563,0.9352,0.1349,not-balanced,50,100,10,3,4,65,kbest,"['disgust', 'a_score']","{'disgust': -0.0, 'a_score': 0.2942}",MLPClassifier()
MLPClassifier,0.8646,0.8839,0.8646,0.8398,0.1335,0.8665,0.8893,0.8665,0.8579,0.8651,0.8886,0.8651,0.8563,0.9362,0.1349,not-balanced,70,100,10,10,3,709,kbest,"['fear', 'anger', 'trust', 'disgust', 'a_score']","{'fear': 0.0001, 'anger': 0.0001, 'trust': -0.0001, 'disgust': 0.0001, 'a_score': 0.2951}",MLPClassifier()
MLPClassifier,0.8594,0.8768,0.8594,0.8371,0.1334,0.8666,0.8897,0.8666,0.858,0.8651,0.8887,0.8651,0.8563,0.934,0.1349,not-balanced,50,100,10,10,3,709,kbest,"['disgust', 'a_score']","{'disgust': 0.0, 'a_score': 0.295}",MLPClassifier()
MLPClassifier,0.8544,0.8772,0.8544,0.8325,0.1309,0.8691,0.8913,0.8691,0.8607,0.8651,0.8887,0.8651,0.8563,0.9342,0.1349,not-balanced,50,100,10,4,4,586,kbest,"['disgust', 'a_score']","{'disgust': 0.0, 'a_score': 0.2955}",MLPClassifier()
MLPClassifier,0.8642,0.8849,0.8642,0.8392,0.1312,0.8688,0.8912,0.8688,0.8604,0.8651,0.8887,0.8651,0.8563,0.9337,0.1349,not-balanced,50,100,10,1,3,87,kbest,"['disgust', 'a_score']","{'disgust': 0.0, 'a_score': 0.2936}",MLPClassifier()
MLPClassifier,0.8628,0.8816,0.8628,0.8394,0.1353,0.8647,0.8885,0.8647,0.856,0.8651,0.8887,0.8651,0.8563,0.9373,0.1349,not-balanced,50,100,10,4,2,236,kbest,"['disgust', 'a_score']","{'disgust': 0.0, 'a_score': 0.293}",MLPClassifier()
MLPClassifier,0.8679,0.8899,0.8679,0.8423,0.1358,0.8642,0.8882,0.8642,0.8554,0.8651,0.8887,0.8651,0.8563,0.9361,0.1349,not-balanced,50,100,10,8,2,527,kbest,"['trust', 'a_score']","{'trust': 0.0, 'a_score': 0.2947}",MLPClassifier()
MLPClassifier,0.859,0.8791,0.859,0.8359,0.1331,0.8669,0.8899,0.8669,0.8583,0.8651,0.8887,0.8651,0.8563,0.9394,0.1349,not-balanced,50,100,10,9,3,333,kbest,"['disgust', 'a_score']","{'disgust': -0.0, 'a_score': 0.294}",MLPClassifier()
MLPClassifier,0.8563,0.873,0.8563,0.8343,0.1323,0.8677,0.8906,0.8677,0.8594,0.8651,0.8886,0.8651,0.8563,0.9323,0.1349,not-balanced,70,100,10,7,3,628,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0003, 'trust': 0.0003, 'surprise': 0.0001, 'disgust': 0.0002, 'a_score': 0.2951}",MLPClassifier()
MLPClassifier,0.8521,0.8724,0.8521,0.8285,0.1309,0.8691,0.8913,0.8691,0.8607,0.8651,0.8887,0.8651,0.8563,0.9304,0.1349,not-balanced,60,100,10,4,4,586,kbest,"['trust', 'disgust', 'a_score']","{'trust': 0.0, 'disgust': 0.0, 'a_score': 0.2944}",MLPClassifier()
MLPClassifier,0.8671,0.8863,0.8671,0.8428,0.1331,0.8669,0.8899,0.8669,0.8583,0.8651,0.8887,0.8651,0.8563,0.9384,0.1349,not-balanced,60,100,10,6,5,489,kbest,"['trust', 'disgust', 'a_score']","{'trust': -0.0001, 'disgust': -0.0, 'a_score': 0.2921}",MLPClassifier()
