Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.9114,0.9194,0.9114,0.899,0.0865,0.9135,0.9214,0.9135,0.9108,0.9176,0.9251,0.9176,0.9151,0.9746,0.0824,not-balanced,80,70,10,2,1,990,kbest,"['fear', 'anger', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.002, 'anger': 0.0019, 'trust': 0.0026, 'surprise': 0.0024, 'disgust': 0.0034, 'a_score': 0.3563}",RandomForestClassifier()
RandomForestClassifier,0.9125,0.921,0.9125,0.9007,0.0861,0.9139,0.9225,0.9139,0.911,0.9176,0.926,0.9176,0.9151,0.9753,0.0824,not-balanced,70,70,10,5,3,247,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0018, 'trust': 0.0022, 'surprise': 0.0016, 'disgust': 0.0028, 'a_score': 0.3594}",RandomForestClassifier()
RandomForestClassifier,0.9121,0.9209,0.9121,0.8997,0.0862,0.9138,0.9222,0.9138,0.911,0.9174,0.9257,0.9174,0.9148,0.9748,0.0826,not-balanced,70,70,10,2,1,990,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0016, 'trust': 0.0017, 'surprise': 0.0019, 'disgust': 0.0026, 'a_score': 0.358}",RandomForestClassifier()
RandomForestClassifier,0.9125,0.9218,0.9125,0.9001,0.0852,0.9148,0.9236,0.9148,0.912,0.9174,0.9261,0.9174,0.9148,0.9745,0.0826,not-balanced,70,70,10,1,1,192,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0009, 'trust': 0.0015, 'surprise': 0.0011, 'disgust': 0.0015, 'a_score': 0.3569}",RandomForestClassifier()
RandomForestClassifier,0.9142,0.9232,0.9142,0.9018,0.0884,0.9116,0.9209,0.9116,0.9087,0.9173,0.9258,0.9173,0.9147,0.9744,0.0827,not-balanced,70,70,10,3,4,353,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0012, 'trust': 0.0015, 'surprise': 0.0013, 'disgust': 0.0016, 'a_score': 0.355}",RandomForestClassifier()
RandomForestClassifier,0.9105,0.9192,0.9105,0.8984,0.0836,0.9164,0.9246,0.9164,0.9137,0.9173,0.9258,0.9173,0.9147,0.9747,0.0827,not-balanced,70,70,10,8,4,608,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0015, 'trust': 0.0018, 'surprise': 0.0015, 'disgust': 0.0023, 'a_score': 0.3574}",RandomForestClassifier()
RandomForestClassifier,0.9121,0.9206,0.9121,0.8994,0.0868,0.9132,0.9225,0.9132,0.9104,0.9173,0.9257,0.9173,0.9147,0.9752,0.0827,not-balanced,70,70,10,9,2,106,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0014, 'trust': 0.0019, 'surprise': 0.0013, 'disgust': 0.0012, 'a_score': 0.3541}",RandomForestClassifier()
RandomForestClassifier,0.9161,0.9258,0.9161,0.9037,0.089,0.911,0.922,0.911,0.9078,0.9171,0.9267,0.9171,0.9143,0.9753,0.0829,not-balanced,50,70,10,7,3,228,kbest,"['disgust', 'a_score']","{'disgust': 0.0001, 'a_score': 0.3551}",RandomForestClassifier()
RandomForestClassifier,0.9154,0.9248,0.9154,0.903,0.0894,0.9106,0.9215,0.9106,0.9074,0.9171,0.9266,0.9171,0.9143,0.9743,0.0829,not-balanced,60,70,10,7,3,228,kbest,"['trust', 'disgust', 'a_score']","{'trust': 0.0006, 'disgust': 0.0008, 'a_score': 0.3555}",RandomForestClassifier()
RandomForestClassifier,0.9137,0.924,0.9137,0.9011,0.0853,0.9147,0.9247,0.9147,0.9117,0.9171,0.9267,0.9171,0.9143,0.9739,0.0829,not-balanced,50,70,10,10,3,973,kbest,"['disgust', 'a_score']","{'disgust': 0.0002, 'a_score': 0.3566}",RandomForestClassifier()
