Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
SVC,0.8666,0.8898,0.8666,0.841,0.1362,0.8638,0.8878,0.8638,0.8547,0.8708,0.8925,0.8708,0.8628,0.8862,0.1292,not-balanced,60,50,10,5,3,893,kbest,"['trust', 'disgust', 'a_score']","{'trust': 0.0005, 'disgust': 0.0001, 'a_score': 0.297}",SVC(probability=True)
SVC,0.8662,0.8896,0.8662,0.8413,0.1357,0.8643,0.8881,0.8643,0.8551,0.8708,0.8926,0.8708,0.8628,0.8855,0.1292,not-balanced,60,50,10,1,2,832,kbest,"['trust', 'disgust', 'a_score']","{'trust': 0.0002, 'disgust': 0.0, 'a_score': 0.2962}",SVC(probability=True)
SVC,0.8663,0.8895,0.8663,0.8396,0.1358,0.8642,0.8882,0.8642,0.8554,0.8708,0.8925,0.8708,0.8628,0.8862,0.1292,not-balanced,60,50,10,7,3,230,kbest,"['trust', 'disgust', 'a_score']","{'trust': 0.0002, 'disgust': -0.0, 'a_score': 0.2929}",SVC(probability=True)
SVC,0.8665,0.8896,0.8665,0.8399,0.1358,0.8642,0.8882,0.8642,0.8554,0.8708,0.8926,0.8708,0.8628,0.8483,0.1292,not-balanced,50,50,10,7,3,230,kbest,"['trust', 'a_score']","{'trust': 0.0003, 'a_score': 0.2949}",SVC(probability=True)
SVC,0.8661,0.8894,0.8661,0.8398,0.1351,0.8649,0.8886,0.8649,0.8561,0.8708,0.8926,0.8708,0.8628,0.8451,0.1292,not-balanced,50,50,10,1,5,603,kbest,"['trust', 'a_score']","{'trust': 0.0002, 'a_score': 0.2947}",SVC(probability=True)
SVC,0.8659,0.8892,0.8659,0.8397,0.1352,0.8648,0.8886,0.8648,0.856,0.8708,0.8926,0.8708,0.8628,0.8794,0.1292,not-balanced,60,50,10,1,5,603,kbest,"['trust', 'disgust', 'a_score']","{'trust': 0.0002, 'disgust': 0.0, 'a_score': 0.2926}",SVC(probability=True)
SVC,0.8667,0.8899,0.8667,0.8407,0.1365,0.8635,0.8877,0.8635,0.8545,0.8708,0.8926,0.8708,0.8628,0.8572,0.1292,not-balanced,50,50,10,2,5,740,kbest,"['disgust', 'a_score']","{'disgust': 0.0001, 'a_score': 0.2967}",SVC(probability=True)
SVC,0.8667,0.8899,0.8667,0.8407,0.1366,0.8634,0.8875,0.8634,0.8544,0.8708,0.8925,0.8708,0.8628,0.8882,0.1292,not-balanced,60,50,10,2,5,740,kbest,"['trust', 'disgust', 'a_score']","{'trust': 0.0005, 'disgust': 0.0001, 'a_score': 0.2923}",SVC(probability=True)
SVC,0.8643,0.8883,0.8643,0.8385,0.1325,0.8675,0.8902,0.8675,0.8588,0.8708,0.8926,0.8708,0.8628,0.8501,0.1292,not-balanced,50,50,10,4,5,444,kbest,"['trust', 'a_score']","{'trust': 0.0001, 'a_score': 0.2933}",SVC(probability=True)
SVC,0.8658,0.8893,0.8658,0.8396,0.1349,0.8651,0.8887,0.8651,0.8563,0.8708,0.8927,0.8708,0.8629,0.8569,0.1292,not-balanced,50,50,10,5,5,830,kbest,"['disgust', 'a_score']","{'disgust': 0.0002, 'a_score': 0.2924}",SVC(probability=True)
SVC,0.8657,0.8892,0.8657,0.8395,0.1349,0.8651,0.8887,0.8651,0.8563,0.8708,0.8926,0.8708,0.8628,0.8876,0.1292,not-balanced,60,50,10,5,5,830,kbest,"['trust', 'disgust', 'a_score']","{'trust': 0.0002, 'disgust': 0.0002, 'a_score': 0.2915}",SVC(probability=True)
SVC,0.8658,0.8891,0.8658,0.8394,0.1349,0.8651,0.8887,0.8651,0.8563,0.8708,0.8926,0.8708,0.8628,0.8513,0.1292,not-balanced,50,50,10,6,5,156,kbest,"['trust', 'a_score']","{'trust': 0.0, 'a_score': 0.2927}",SVC(probability=True)
SVC,0.8647,0.8884,0.8647,0.838,0.1331,0.8669,0.8899,0.8669,0.8583,0.8708,0.8926,0.8708,0.8628,0.8429,0.1292,not-balanced,50,50,10,8,5,590,kbest,"['trust', 'a_score']","{'trust': 0.0002, 'a_score': 0.2915}",SVC(probability=True)
SVC,0.8677,0.8905,0.8677,0.8418,0.1377,0.8623,0.8869,0.8623,0.8531,0.8708,0.8926,0.8708,0.8628,0.845,0.1292,not-balanced,50,50,10,10,5,726,kbest,"['trust', 'a_score']","{'trust': 0.0002, 'a_score': 0.2962}",SVC(probability=True)
SVC,0.8657,0.8891,0.8657,0.8398,0.1349,0.8651,0.8887,0.8651,0.8563,0.8708,0.8927,0.8708,0.8629,0.8484,0.1292,not-balanced,50,50,10,9,3,468,kbest,"['disgust', 'a_score']","{'disgust': -0.0, 'a_score': 0.2942}",SVC(probability=True)
SVC,0.8641,0.8881,0.8641,0.8368,0.1325,0.8675,0.8904,0.8675,0.8592,0.8708,0.8926,0.8708,0.8628,0.8568,0.1292,not-balanced,50,50,10,4,3,695,kbest,"['disgust', 'a_score']","{'disgust': 0.0001, 'a_score': 0.2908}",SVC(probability=True)
SVC,0.8636,0.8878,0.8636,0.8369,0.1317,0.8683,0.8908,0.8683,0.86,0.8708,0.8925,0.8708,0.8628,0.8891,0.1292,not-balanced,60,50,10,3,3,388,kbest,"['trust', 'disgust', 'a_score']","{'trust': 0.0003, 'disgust': 0.0001, 'a_score': 0.2928}",SVC(probability=True)
SVC,0.8655,0.889,0.8655,0.8384,0.1343,0.8657,0.8893,0.8657,0.8572,0.8708,0.8926,0.8708,0.8628,0.8331,0.1292,not-balanced,50,50,10,2,3,642,kbest,"['trust', 'a_score']","{'trust': 0.0003, 'a_score': 0.2893}",SVC(probability=True)
SVC,0.8685,0.891,0.8685,0.8423,0.139,0.861,0.8859,0.861,0.8518,0.8708,0.8926,0.8708,0.8628,0.891,0.1292,not-balanced,60,50,10,1,3,270,kbest,"['trust', 'disgust', 'a_score']","{'trust': 0.0002, 'disgust': 0.0003, 'a_score': 0.2935}",SVC(probability=True)
SVC,0.8685,0.891,0.8685,0.8423,0.139,0.861,0.8859,0.861,0.8518,0.8708,0.8926,0.8708,0.8628,0.8574,0.1292,not-balanced,50,50,10,1,3,270,kbest,"['disgust', 'a_score']","{'disgust': 0.0003, 'a_score': 0.2948}",SVC(probability=True)
SVC,0.8657,0.8891,0.8657,0.8394,0.1347,0.8653,0.8889,0.8653,0.8566,0.8708,0.8926,0.8708,0.8628,0.8444,0.1292,not-balanced,50,50,10,10,1,671,kbest,"['trust', 'a_score']","{'trust': 0.0, 'a_score': 0.2921}",SVC(probability=True)
SVC,0.8632,0.8874,0.8632,0.8368,0.1313,0.8687,0.891,0.8687,0.8603,0.8708,0.8926,0.8708,0.8628,0.8874,0.1292,not-balanced,60,50,10,9,1,265,kbest,"['trust', 'disgust', 'a_score']","{'trust': 0.0003, 'disgust': 0.0002, 'a_score': 0.2928}",SVC(probability=True)
SVC,0.8635,0.8877,0.8635,0.837,0.1312,0.8688,0.8912,0.8688,0.8604,0.8708,0.8926,0.8708,0.8628,0.8455,0.1292,not-balanced,50,50,10,9,1,265,kbest,"['trust', 'a_score']","{'trust': 0.0002, 'a_score': 0.2919}",SVC(probability=True)
SVC,0.864,0.888,0.864,0.8375,0.1321,0.8679,0.8906,0.8679,0.8594,0.8708,0.8927,0.8708,0.8629,0.8446,0.1292,not-balanced,50,50,10,1,4,9,kbest,"['trust', 'a_score']","{'trust': 0.0002, 'a_score': 0.2913}",SVC(probability=True)
SVC,0.8654,0.8889,0.8654,0.8384,0.1343,0.8657,0.8892,0.8657,0.8572,0.8708,0.8926,0.8708,0.8628,0.8824,0.1292,not-balanced,60,50,10,7,1,341,kbest,"['trust', 'disgust', 'a_score']","{'trust': 0.0002, 'disgust': -0.0, 'a_score': 0.2921}",SVC(probability=True)
SVC,0.8654,0.8889,0.8654,0.8384,0.1343,0.8657,0.8892,0.8657,0.8572,0.8708,0.8926,0.8708,0.8628,0.8483,0.1292,not-balanced,50,50,10,7,1,341,kbest,"['disgust', 'a_score']","{'disgust': 0.0, 'a_score': 0.2901}",SVC(probability=True)
