Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.8997,0.9134,0.8997,0.8905,0.0831,0.9169,0.9261,0.9169,0.9142,0.9137,0.9239,0.9137,0.9107,0.9753,0.0863,not-balanced,50,20,10,8,3,302,kbest,"['fear', 'a_score']","{'fear': 0.001, 'a_score': 0.3581}",KNeighborsClassifier()
KNeighborsClassifier,0.9068,0.9181,0.9068,0.8952,0.0811,0.9189,0.9281,0.9189,0.9163,0.9135,0.9239,0.9135,0.9105,0.9743,0.0865,not-balanced,50,20,10,6,3,561,kbest,"['disgust', 'a_score']","{'disgust': 0.0007, 'a_score': 0.3531}",KNeighborsClassifier()
KNeighborsClassifier,0.9125,0.9218,0.9125,0.9004,0.0784,0.9216,0.9294,0.9216,0.9192,0.9135,0.9235,0.9135,0.9105,0.9639,0.0865,not-balanced,50,20,10,3,3,84,kbest,"['trust', 'a_score']","{'trust': 0.0021, 'a_score': 0.3582}",KNeighborsClassifier()
KNeighborsClassifier,0.9092,0.9206,0.9092,0.8974,0.0813,0.9187,0.9279,0.9187,0.916,0.9135,0.9239,0.9135,0.9105,0.9733,0.0865,not-balanced,50,20,10,1,2,112,kbest,"['disgust', 'a_score']","{'disgust': 0.0006, 'a_score': 0.363}",KNeighborsClassifier()
KNeighborsClassifier,0.8929,0.9104,0.8929,0.8856,0.0809,0.9191,0.9274,0.9191,0.9167,0.9135,0.9235,0.9135,0.9105,0.9681,0.0865,not-balanced,50,20,10,4,2,857,kbest,"['trust', 'a_score']","{'trust': 0.0031, 'a_score': 0.3632}",KNeighborsClassifier()
KNeighborsClassifier,0.898,0.915,0.898,0.8898,0.0816,0.9184,0.9276,0.9184,0.9156,0.9135,0.9239,0.9135,0.9105,0.9768,0.0865,not-balanced,50,20,10,5,2,17,kbest,"['disgust', 'a_score']","{'disgust': 0.0005, 'a_score': 0.3627}",KNeighborsClassifier()
KNeighborsClassifier,0.916,0.9247,0.916,0.9041,0.0838,0.9162,0.926,0.9162,0.9133,0.9135,0.9239,0.9135,0.9105,0.9596,0.0865,not-balanced,50,20,10,7,5,104,kbest,"['disgust', 'a_score']","{'disgust': 0.0007, 'a_score': 0.3623}",KNeighborsClassifier()
KNeighborsClassifier,0.8992,0.9147,0.8992,0.8901,0.0798,0.9202,0.9291,0.9202,0.9176,0.9135,0.9239,0.9135,0.9105,0.9745,0.0865,not-balanced,50,20,10,6,2,198,kbest,"['disgust', 'a_score']","{'disgust': 0.0005, 'a_score': 0.3594}",KNeighborsClassifier()
KNeighborsClassifier,0.9098,0.9212,0.9098,0.8993,0.085,0.915,0.9252,0.915,0.9123,0.9135,0.9239,0.9135,0.9105,0.9764,0.0865,not-balanced,50,20,10,4,4,371,kbest,"['disgust', 'a_score']","{'disgust': 0.0003, 'a_score': 0.3572}",KNeighborsClassifier()
KNeighborsClassifier,0.9089,0.9196,0.9089,0.8983,0.082,0.918,0.9273,0.918,0.9152,0.9135,0.9239,0.9135,0.9105,0.9758,0.0865,not-balanced,50,20,10,3,5,390,kbest,"['disgust', 'a_score']","{'disgust': 0.0004, 'a_score': 0.3639}",KNeighborsClassifier()
