Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.824,0.8486,0.824,0.82,0.1405,0.8595,0.8896,0.8595,0.8567,0.8532,0.8861,0.8532,0.8502,0.9265,0.1468,not-balanced,50,30,10,7,2,165,kbest,"['disgust', 'a_score']","{'disgust': 0.0003, 'a_score': 0.3583}",KNeighborsClassifier()
KNeighborsClassifier,0.8488,0.8647,0.8488,0.8475,0.1482,0.8518,0.853,0.8518,0.8516,0.8529,0.8552,0.8529,0.8527,0.9352,0.1471,not-balanced,50,30,10,2,1,747,kbest,"['fear', 'a_score']","{'fear': 0.0018, 'a_score': 0.3522}",KNeighborsClassifier()
KNeighborsClassifier,0.8359,0.848,0.8359,0.8344,0.1396,0.8604,0.891,0.8604,0.8577,0.8529,0.8865,0.8529,0.8498,0.9387,0.1471,not-balanced,50,30,10,5,4,423,kbest,"['disgust', 'a_score']","{'disgust': 0.0001, 'a_score': 0.3548}",KNeighborsClassifier()
KNeighborsClassifier,0.8378,0.851,0.8378,0.8361,0.1488,0.8512,0.8531,0.8512,0.851,0.8529,0.8552,0.8529,0.8527,0.9399,0.1471,not-balanced,50,30,10,4,3,815,kbest,"['fear', 'a_score']","{'fear': 0.0014, 'a_score': 0.351}",KNeighborsClassifier()
KNeighborsClassifier,0.8332,0.8487,0.8332,0.8313,0.1451,0.8549,0.8878,0.8549,0.8521,0.8528,0.8863,0.8528,0.8497,0.9354,0.1472,not-balanced,50,30,10,5,1,664,kbest,"['fear', 'a_score']","{'fear': 0.0001, 'a_score': 0.3624}",KNeighborsClassifier()
KNeighborsClassifier,0.8395,0.8582,0.8395,0.8371,0.1438,0.8562,0.8881,0.8562,0.8535,0.8528,0.8863,0.8528,0.8497,0.9469,0.1472,not-balanced,50,30,10,8,4,640,kbest,"['fear', 'a_score']","{'fear': 0.0005, 'a_score': 0.3612}",KNeighborsClassifier()
KNeighborsClassifier,0.8266,0.8499,0.8266,0.8236,0.1475,0.8525,0.8534,0.8525,0.8525,0.8528,0.8551,0.8528,0.8526,0.9287,0.1472,not-balanced,50,30,10,1,2,765,kbest,"['fear', 'a_score']","{'fear': 0.0027, 'a_score': 0.3479}",KNeighborsClassifier()
KNeighborsClassifier,0.8507,0.8675,0.8507,0.8493,0.1475,0.8525,0.8543,0.8525,0.8523,0.8527,0.8555,0.8527,0.8524,0.9403,0.1473,not-balanced,60,30,10,2,1,747,kbest,"['fear', 'disgust', 'a_score']","{'fear': 0.0015, 'disgust': -0.0004, 'a_score': 0.3535}",KNeighborsClassifier()
KNeighborsClassifier,0.8427,0.8514,0.8427,0.8417,0.1568,0.8432,0.8453,0.8432,0.8431,0.8525,0.8547,0.8525,0.8523,0.9346,0.1475,not-balanced,70,30,10,2,5,710,kbest,"['fear', 'trust', 'disgust', 'joy', 'a_score']","{'fear': 0.003, 'trust': 0.0042, 'disgust': 0.0032, 'joy': 0.0023, 'a_score': 0.3614}",KNeighborsClassifier()
KNeighborsClassifier,0.8306,0.8439,0.8306,0.8289,0.1487,0.8513,0.8529,0.8513,0.8512,0.8522,0.8561,0.8522,0.8519,0.9314,0.1478,not-balanced,70,30,10,1,2,765,kbest,"['fear', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.0027, 'trust': 0.0011, 'sadness': 0.003, 'disgust': 0.0018, 'a_score': 0.3509}",KNeighborsClassifier()
KNeighborsClassifier,0.8479,0.862,0.8479,0.8464,0.1443,0.8557,0.8858,0.8557,0.8529,0.8522,0.8836,0.8522,0.8493,0.9372,0.1478,not-balanced,60,30,10,7,3,507,kbest,"['fear', 'disgust', 'a_score']","{'fear': 0.001, 'disgust': 0.0004, 'a_score': 0.3584}",KNeighborsClassifier()
KNeighborsClassifier,0.8285,0.8435,0.8285,0.8264,0.157,0.843,0.844,0.843,0.843,0.8518,0.8539,0.8518,0.8516,0.9364,0.1482,not-balanced,60,30,10,5,4,423,kbest,"['fear', 'disgust', 'a_score']","{'fear': 0.0049, 'disgust': 0.0055, 'a_score': 0.3557}",KNeighborsClassifier()
KNeighborsClassifier,0.8341,0.8462,0.8341,0.8325,0.1482,0.8518,0.8713,0.8518,0.8502,0.8518,0.8722,0.8518,0.8499,0.9388,0.1482,not-balanced,80,30,10,8,4,640,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.0035, 'anticipation': 0.0042, 'trust': 0.0037, 'sadness': 0.0048, 'disgust': 0.0059, 'a_score': 0.3619}",KNeighborsClassifier()
