Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.8227,0.828,0.8227,0.6538,0.3289,0.8555,0.8955,0.8555,0.8548,0.8545,0.8963,0.8545,0.8542,0.9456,0.3363,not-balanced,50,50,10,2,3,935,kbest,"['trust', 'a_score']","{'trust': 0.0003, 'a_score': 0.4314}",KNeighborsClassifier()
KNeighborsClassifier,0.835,0.8527,0.835,0.6937,0.3339,0.854,0.8969,0.854,0.8537,0.8545,0.8971,0.8545,0.8541,0.9465,0.3353,not-balanced,50,50,10,7,1,940,kbest,"['trust', 'a_score']","{'trust': 0.0, 'a_score': 0.4325}",KNeighborsClassifier()
KNeighborsClassifier,0.8353,0.848,0.8353,0.6912,0.3431,0.8475,0.8927,0.8475,0.8467,0.8544,0.897,0.8544,0.854,0.962,0.3354,not-balanced,50,50,10,8,3,424,kbest,"['trust', 'a_score']","{'trust': 0.0, 'a_score': 0.4371}",KNeighborsClassifier()
KNeighborsClassifier,0.8248,0.8399,0.8248,0.6844,0.3348,0.8529,0.8949,0.8529,0.8518,0.8544,0.8969,0.8544,0.854,0.9283,0.3354,not-balanced,50,50,10,8,2,21,kbest,"['fear', 'a_score']","{'fear': 0.0003, 'a_score': 0.4313}",KNeighborsClassifier()
KNeighborsClassifier,0.8447,0.8519,0.8447,0.7246,0.3452,0.8487,0.8833,0.8487,0.8481,0.8537,0.8863,0.8537,0.8534,0.9519,0.3356,not-balanced,60,50,10,8,1,900,kbest,"['surprise', 'joy', 'a_score']","{'surprise': 0.0005, 'joy': 0.0034, 'a_score': 0.431}",KNeighborsClassifier()
KNeighborsClassifier,0.8407,0.8578,0.8407,0.7654,0.3329,0.8526,0.8748,0.8526,0.8522,0.8537,0.8773,0.8537,0.8536,0.9526,0.3305,not-balanced,80,50,10,9,1,198,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0033, 'trust': 0.0013, 'surprise': 0.0001, 'sadness': 0.0042, 'joy': 0.0031, 'a_score': 0.4262}",KNeighborsClassifier()
KNeighborsClassifier,0.8187,0.8472,0.8187,0.7065,0.3326,0.8539,0.8436,0.8539,0.8369,0.8536,0.8422,0.8536,0.8356,0.9554,0.339,not-balanced,50,50,10,2,1,143,kbest,"['fear', 'a_score']","{'fear': 0.004, 'a_score': 0.3906}",KNeighborsClassifier()
KNeighborsClassifier,0.8417,0.8384,0.8417,0.6725,0.3474,0.8478,0.8882,0.8478,0.8469,0.8535,0.892,0.8535,0.8531,0.9222,0.3368,not-balanced,60,50,10,7,2,214,kbest,"['surprise', 'joy', 'a_score']","{'surprise': 0.0009, 'joy': 0.0011, 'a_score': 0.4336}",KNeighborsClassifier()
KNeighborsClassifier,0.8339,0.8385,0.8339,0.7061,0.3365,0.853,0.8936,0.853,0.853,0.8534,0.8934,0.8534,0.8532,0.9505,0.3362,not-balanced,60,50,10,7,1,940,kbest,"['trust', 'joy', 'a_score']","{'trust': 0.0001, 'joy': 0.001, 'a_score': 0.4344}",KNeighborsClassifier()
KNeighborsClassifier,0.8443,0.8562,0.8443,0.7403,0.3444,0.849,0.8832,0.849,0.8484,0.8533,0.8857,0.8533,0.8529,0.957,0.337,not-balanced,50,50,10,8,1,900,kbest,"['joy', 'a_score']","{'joy': 0.0034, 'a_score': 0.4366}",KNeighborsClassifier()
