Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.8909,0.9005,0.8909,0.8814,0.0952,0.9048,0.9134,0.9048,0.9017,0.9128,0.9201,0.9128,0.9101,0.9605,0.0872,not-balanced,70,70,10,6,4,255,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0029, 'trust': 0.0031, 'surprise': 0.0016, 'disgust': 0.0059, 'a_score': 0.355}",KNeighborsClassifier()
KNeighborsClassifier,0.8908,0.9012,0.8908,0.8819,0.0919,0.9081,0.9133,0.9081,0.9056,0.9121,0.9171,0.9121,0.9099,0.9568,0.0879,not-balanced,70,70,10,8,3,500,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0022, 'trust': 0.0027, 'surprise': 0.0018, 'disgust': 0.0048, 'a_score': 0.3563}",KNeighborsClassifier()
KNeighborsClassifier,0.889,0.8991,0.889,0.8792,0.0914,0.9086,0.9148,0.9086,0.9059,0.912,0.9186,0.912,0.9094,0.9527,0.088,not-balanced,70,70,10,6,3,719,kbest,"['fear', 'anger', 'trust', 'disgust', 'a_score']","{'fear': 0.002, 'anger': 0.0038, 'trust': 0.0023, 'disgust': 0.0058, 'a_score': 0.3494}",KNeighborsClassifier()
KNeighborsClassifier,0.8862,0.8954,0.8862,0.8775,0.089,0.911,0.9181,0.911,0.9083,0.9119,0.9199,0.9119,0.9091,0.9437,0.0881,not-balanced,70,70,10,2,5,495,kbest,"['fear', 'trust', 'sadness', 'disgust', 'a_score']","{'fear': 0.0047, 'trust': 0.0027, 'sadness': 0.005, 'disgust': 0.0056, 'a_score': 0.3499}",KNeighborsClassifier()
KNeighborsClassifier,0.9028,0.9077,0.9028,0.8904,0.0915,0.9085,0.9145,0.9085,0.9059,0.9114,0.9174,0.9114,0.9089,0.9601,0.0886,not-balanced,70,70,10,2,1,362,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0039, 'trust': 0.0036, 'surprise': 0.0013, 'disgust': 0.0059, 'a_score': 0.3509}",KNeighborsClassifier()
KNeighborsClassifier,0.8929,0.9012,0.8929,0.8824,0.0904,0.9096,0.917,0.9096,0.9069,0.9113,0.918,0.9113,0.9087,0.9611,0.0887,not-balanced,70,70,10,10,2,25,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0023, 'trust': 0.0034, 'surprise': 0.0026, 'disgust': 0.0016, 'a_score': 0.3503}",KNeighborsClassifier()
KNeighborsClassifier,0.8791,0.8924,0.8791,0.8718,0.0958,0.9042,0.9115,0.9042,0.9013,0.9111,0.9175,0.9111,0.9085,0.957,0.0889,not-balanced,70,70,10,10,5,42,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0043, 'trust': 0.004, 'surprise': 0.0047, 'disgust': 0.0045, 'a_score': 0.3524}",KNeighborsClassifier()
KNeighborsClassifier,0.8999,0.9081,0.8999,0.8884,0.0916,0.9084,0.9149,0.9084,0.9058,0.9104,0.916,0.9104,0.908,0.9687,0.0896,not-balanced,70,70,10,8,5,215,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0008, 'trust': 0.0014, 'surprise': 0.0014, 'disgust': 0.0027, 'a_score': 0.3503}",KNeighborsClassifier()
KNeighborsClassifier,0.8962,0.9043,0.8962,0.885,0.0924,0.9076,0.9127,0.9076,0.9052,0.9103,0.9148,0.9103,0.9081,0.9618,0.0897,not-balanced,70,70,10,9,2,815,kbest,"['fear', 'anticipation', 'trust', 'disgust', 'a_score']","{'fear': 0.0037, 'anticipation': 0.0028, 'trust': 0.0052, 'disgust': 0.0052, 'a_score': 0.3522}",KNeighborsClassifier()
KNeighborsClassifier,0.8933,0.8989,0.8933,0.8831,0.097,0.903,0.9078,0.903,0.9005,0.9102,0.9149,0.9102,0.908,0.968,0.0898,not-balanced,70,70,10,4,2,507,kbest,"['fear', 'trust', 'surprise', 'disgust', 'a_score']","{'fear': 0.0035, 'trust': 0.0032, 'surprise': 0.0024, 'disgust': 0.0055, 'a_score': 0.3579}",KNeighborsClassifier()
