Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.8439,0.8532,0.8439,0.7502,0.3411,0.8503,0.879,0.8503,0.8498,0.8507,0.8783,0.8507,0.8497,0.9558,0.3355,not-balanced,70,80,10,2,3,637,kbest,"['trust', 'surprise', 'sadness', 'joy', 'a_score']","{'trust': 0.0023, 'surprise': 0.0032, 'sadness': 0.0033, 'joy': 0.0023, 'a_score': 0.4371}",KNeighborsClassifier()
KNeighborsClassifier,0.8341,0.8406,0.8341,0.7297,0.3416,0.8501,0.8672,0.8501,0.8507,0.849,0.8643,0.849,0.8486,0.9433,0.3353,not-balanced,80,80,10,2,2,839,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0049, 'trust': 0.004, 'surprise': 0.004, 'sadness': 0.0044, 'joy': 0.0066, 'a_score': 0.4271}",KNeighborsClassifier()
KNeighborsClassifier,0.8343,0.8403,0.8343,0.7203,0.3476,0.848,0.8724,0.848,0.848,0.8487,0.872,0.8487,0.8482,0.9576,0.3378,not-balanced,80,80,10,8,5,606,kbest,"['fear', 'trust', 'surprise', 'disgust', 'joy', 'a_score']","{'fear': 0.0016, 'trust': 0.0031, 'surprise': 0.0033, 'disgust': 0.001, 'joy': 0.0044, 'a_score': 0.4311}",KNeighborsClassifier()
KNeighborsClassifier,0.8426,0.8448,0.8426,0.7273,0.3279,0.8566,0.8785,0.8566,0.8568,0.8484,0.8707,0.8484,0.8479,0.9534,0.3366,not-balanced,80,80,10,7,2,880,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0063, 'trust': 0.0028, 'surprise': 0.0025, 'sadness': 0.0049, 'joy': 0.0029, 'a_score': 0.4273}",KNeighborsClassifier()
KNeighborsClassifier,0.8378,0.8408,0.8378,0.7212,0.3359,0.8528,0.869,0.8528,0.8523,0.8483,0.8637,0.8483,0.847,0.9569,0.3396,not-balanced,70,80,10,6,2,33,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0058, 'trust': 0.0001, 'surprise': 0.0012, 'sadness': 0.0056, 'a_score': 0.4232}",KNeighborsClassifier()
KNeighborsClassifier,0.8303,0.8399,0.8303,0.7105,0.3307,0.8538,0.8769,0.8538,0.854,0.8483,0.8718,0.8483,0.8481,0.9497,0.3383,not-balanced,70,80,10,2,1,842,kbest,"['fear', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0021, 'surprise': 0.0039, 'sadness': 0.0058, 'joy': 0.007, 'a_score': 0.4296}",KNeighborsClassifier()
KNeighborsClassifier,0.8303,0.8399,0.8303,0.7105,0.3307,0.8538,0.8769,0.8538,0.854,0.8483,0.8718,0.8483,0.8481,0.9497,0.3383,not-balanced,70,80,10,5,2,842,kbest,"['fear', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0021, 'surprise': 0.0033, 'sadness': 0.0052, 'joy': 0.0063, 'a_score': 0.4304}",KNeighborsClassifier()
KNeighborsClassifier,0.8438,0.8401,0.8438,0.7062,0.3337,0.8512,0.8434,0.8512,0.8415,0.8481,0.8404,0.8481,0.8385,0.9486,0.3426,not-balanced,80,80,10,7,3,923,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0045, 'trust': 0.0028, 'surprise': 0.0033, 'sadness': 0.0063, 'joy': 0.0037, 'a_score': 0.4035}",KNeighborsClassifier()
KNeighborsClassifier,0.8348,0.8432,0.8348,0.7221,0.341,0.8498,0.8785,0.8498,0.8499,0.8481,0.8762,0.8481,0.8479,0.9572,0.3378,not-balanced,70,80,10,8,5,606,kbest,"['fear', 'trust', 'surprise', 'joy', 'a_score']","{'fear': 0.0016, 'trust': 0.002, 'surprise': 0.0038, 'joy': 0.0035, 'a_score': 0.4361}",KNeighborsClassifier()
KNeighborsClassifier,0.8287,0.8449,0.8287,0.7413,0.3428,0.8509,0.8408,0.8509,0.8397,0.848,0.8385,0.848,0.8365,0.943,0.3445,not-balanced,70,80,10,1,5,604,kbest,"['trust', 'surprise', 'sadness', 'joy', 'a_score']","{'trust': 0.0011, 'surprise': 0.0015, 'sadness': 0.0049, 'joy': 0.0024, 'a_score': 0.3986}",KNeighborsClassifier()
KNeighborsClassifier,0.8481,0.8561,0.8481,0.741,0.354,0.8464,0.8345,0.8464,0.8318,0.848,0.8386,0.848,0.8355,0.9556,0.3413,not-balanced,80,80,10,4,5,825,kbest,"['fear', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0029, 'surprise': 0.0029, 'sadness': 0.0057, 'disgust': 0.0013, 'joy': 0.0043, 'a_score': 0.4023}",KNeighborsClassifier()
KNeighborsClassifier,0.8442,0.8504,0.8442,0.7356,0.3408,0.8522,0.8393,0.8522,0.8379,0.8479,0.8377,0.8479,0.8345,0.9509,0.3407,not-balanced,70,80,10,7,5,38,kbest,"['trust', 'surprise', 'sadness', 'joy', 'a_score']","{'trust': 0.0021, 'surprise': 0.0013, 'sadness': 0.0065, 'joy': 0.0025, 'a_score': 0.3957}",KNeighborsClassifier()
KNeighborsClassifier,0.8378,0.8427,0.8378,0.7354,0.337,0.8508,0.8653,0.8508,0.8506,0.8476,0.8616,0.8476,0.8467,0.9576,0.3405,not-balanced,80,80,10,6,2,33,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0106, 'trust': 0.0013, 'surprise': 0.0029, 'sadness': 0.0087, 'joy': 0.0034, 'a_score': 0.4223}",KNeighborsClassifier()
KNeighborsClassifier,0.842,0.8574,0.842,0.769,0.3445,0.8489,0.8402,0.8489,0.8396,0.8475,0.8401,0.8475,0.8386,0.955,0.3442,not-balanced,80,80,10,6,5,496,kbest,"['anticipation', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'anticipation': 0.003, 'trust': 0.0033, 'surprise': 0.0035, 'sadness': 0.0069, 'joy': 0.004, 'a_score': 0.4002}",KNeighborsClassifier()
KNeighborsClassifier,0.8397,0.8632,0.8397,0.7859,0.3355,0.8518,0.8712,0.8518,0.8521,0.8474,0.8685,0.8474,0.8472,0.9553,0.3391,not-balanced,70,80,10,8,4,500,kbest,"['fear', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0059, 'surprise': 0.0037, 'sadness': 0.0063, 'joy': 0.0052, 'a_score': 0.4286}",KNeighborsClassifier()
KNeighborsClassifier,0.8397,0.8632,0.8397,0.7859,0.3355,0.8518,0.8712,0.8518,0.8521,0.8474,0.8685,0.8474,0.8472,0.9553,0.3391,not-balanced,70,80,10,3,5,500,kbest,"['fear', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0056, 'surprise': 0.0035, 'sadness': 0.0072, 'joy': 0.0052, 'a_score': 0.4287}",KNeighborsClassifier()
KNeighborsClassifier,0.8415,0.8483,0.8415,0.7279,0.3673,0.8448,0.8316,0.8448,0.8304,0.8473,0.8363,0.8473,0.8337,0.961,0.3487,not-balanced,70,80,10,5,1,176,kbest,"['trust', 'surprise', 'sadness', 'joy', 'a_score']","{'trust': 0.0031, 'surprise': 0.0031, 'sadness': 0.0035, 'joy': 0.0008, 'a_score': 0.3951}",KNeighborsClassifier()
KNeighborsClassifier,0.8314,0.847,0.8314,0.759,0.3345,0.8538,0.8429,0.8538,0.8411,0.8473,0.8378,0.8473,0.8353,0.9563,0.3415,not-balanced,70,80,10,1,4,14,kbest,"['trust', 'surprise', 'sadness', 'joy', 'a_score']","{'trust': 0.0014, 'surprise': 0.0018, 'sadness': 0.0069, 'joy': 0.003, 'a_score': 0.3968}",KNeighborsClassifier()
KNeighborsClassifier,0.8426,0.8615,0.8426,0.7809,0.3364,0.8513,0.8695,0.8513,0.8516,0.8466,0.8662,0.8466,0.8463,0.9452,0.3402,not-balanced,80,80,10,3,5,500,kbest,"['fear', 'anticipation', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0083, 'anticipation': 0.0021, 'surprise': 0.0035, 'sadness': 0.0076, 'joy': 0.0037, 'a_score': 0.4242}",KNeighborsClassifier()
KNeighborsClassifier,0.8426,0.8615,0.8426,0.7809,0.3364,0.8513,0.8695,0.8513,0.8516,0.8466,0.8662,0.8466,0.8463,0.9452,0.3402,not-balanced,80,80,10,8,4,500,kbest,"['fear', 'anticipation', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0092, 'anticipation': 0.0018, 'surprise': 0.003, 'sadness': 0.0072, 'joy': 0.0033, 'a_score': 0.4273}",KNeighborsClassifier()
KNeighborsClassifier,0.8337,0.8384,0.8337,0.7256,0.3349,0.8498,0.8759,0.8498,0.85,0.8466,0.8725,0.8466,0.8467,0.957,0.3378,not-balanced,80,80,10,3,4,216,kbest,"['trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'trust': 0.003, 'surprise': 0.0043, 'sadness': 0.004, 'disgust': 0.002, 'joy': 0.0043, 'a_score': 0.4321}",KNeighborsClassifier()
KNeighborsClassifier,0.8325,0.8442,0.8325,0.7499,0.3434,0.851,0.8386,0.851,0.8375,0.8464,0.8368,0.8464,0.8345,0.957,0.3445,not-balanced,80,80,10,1,4,14,kbest,"['trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'trust': 0.0036, 'surprise': 0.002, 'sadness': 0.0048, 'disgust': 0.0026, 'joy': 0.0033, 'a_score': 0.3978}",KNeighborsClassifier()
KNeighborsClassifier,0.8392,0.8519,0.8392,0.7563,0.3405,0.8492,0.8675,0.8492,0.8495,0.8464,0.865,0.8464,0.8461,0.9567,0.337,not-balanced,70,80,10,4,3,428,kbest,"['trust', 'surprise', 'sadness', 'joy', 'a_score']","{'trust': 0.0028, 'surprise': 0.0047, 'sadness': 0.0035, 'joy': 0.0032, 'a_score': 0.4242}",KNeighborsClassifier()
