Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.8393,0.8464,0.8393,0.8386,0.1489,0.8511,0.8826,0.8511,0.8482,0.8537,0.885,0.8537,0.8508,0.94,0.1463,not-balanced,60,90,10,9,3,674,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0003, 'trust': -0.0001, 'a_score': 0.3542}",KNeighborsClassifier()
KNeighborsClassifier,0.8227,0.8304,0.8227,0.8214,0.1474,0.8526,0.8567,0.8526,0.8522,0.8532,0.8571,0.8532,0.8528,0.9326,0.1468,not-balanced,60,90,10,5,3,449,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0024, 'trust': -0.0002, 'a_score': 0.3522}",KNeighborsClassifier()
KNeighborsClassifier,0.8362,0.8468,0.8362,0.8349,0.1475,0.8525,0.883,0.8525,0.8497,0.853,0.8829,0.853,0.8502,0.9311,0.147,not-balanced,60,90,10,8,2,283,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0011, 'trust': -0.0005, 'a_score': 0.3504}",KNeighborsClassifier()
KNeighborsClassifier,0.8293,0.8433,0.8293,0.8275,0.1477,0.8523,0.8838,0.8523,0.8494,0.8529,0.8838,0.8529,0.85,0.9311,0.1471,not-balanced,60,90,10,3,5,852,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0006, 'trust': 0.0002, 'a_score': 0.3545}",KNeighborsClassifier()
KNeighborsClassifier,0.8273,0.8438,0.8273,0.825,0.1484,0.8516,0.854,0.8516,0.8515,0.8526,0.8543,0.8526,0.8524,0.9383,0.1474,not-balanced,60,90,10,1,1,676,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.005, 'trust': 0.0012, 'a_score': 0.3523}",KNeighborsClassifier()
KNeighborsClassifier,0.8332,0.85,0.8332,0.8314,0.1498,0.8502,0.8534,0.8502,0.8499,0.852,0.8552,0.852,0.8517,0.9376,0.148,not-balanced,60,90,10,9,5,466,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.002, 'trust': -0.0004, 'a_score': 0.3509}",KNeighborsClassifier()
KNeighborsClassifier,0.8289,0.8374,0.8289,0.8278,0.1475,0.8525,0.8558,0.8525,0.8523,0.852,0.8548,0.852,0.8517,0.9366,0.148,not-balanced,60,90,10,8,5,828,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0026, 'trust': 0.0002, 'a_score': 0.3483}",KNeighborsClassifier()
KNeighborsClassifier,0.8465,0.8531,0.8465,0.8459,0.1497,0.8503,0.8515,0.8503,0.8502,0.852,0.8532,0.852,0.852,0.9345,0.148,not-balanced,60,90,10,6,1,142,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0028, 'trust': 0.0007, 'a_score': 0.3512}",KNeighborsClassifier()
KNeighborsClassifier,0.8354,0.8418,0.8354,0.8346,0.1494,0.8506,0.8781,0.8506,0.8479,0.852,0.8794,0.852,0.8494,0.9369,0.148,not-balanced,60,90,10,5,5,669,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0001, 'trust': -0.0015, 'a_score': 0.3522}",KNeighborsClassifier()
KNeighborsClassifier,0.8268,0.847,0.8268,0.8242,0.1468,0.8532,0.8547,0.8532,0.8531,0.852,0.8532,0.852,0.8518,0.9293,0.148,not-balanced,60,90,10,1,2,355,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0048, 'trust': 0.0007, 'a_score': 0.3497}",KNeighborsClassifier()
KNeighborsClassifier,0.8413,0.8599,0.8413,0.8395,0.1509,0.8491,0.8686,0.8491,0.8471,0.852,0.8712,0.852,0.8502,0.9338,0.148,not-balanced,60,90,10,4,3,514,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0007, 'trust': 0.0004, 'a_score': 0.3506}",KNeighborsClassifier()
KNeighborsClassifier,0.8469,0.8548,0.8469,0.8461,0.1512,0.8488,0.8711,0.8488,0.8467,0.852,0.8728,0.852,0.85,0.9206,0.148,not-balanced,60,90,10,9,2,296,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0015, 'trust': -0.0009, 'a_score': 0.3547}",KNeighborsClassifier()
KNeighborsClassifier,0.8383,0.8505,0.8383,0.8369,0.1477,0.8523,0.8551,0.8523,0.8521,0.8516,0.8544,0.8516,0.8514,0.9341,0.1484,not-balanced,60,90,10,5,1,363,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0022, 'trust': 0.0002, 'a_score': 0.3498}",KNeighborsClassifier()
KNeighborsClassifier,0.8339,0.8419,0.8339,0.8328,0.1485,0.8515,0.853,0.8515,0.8513,0.8515,0.8528,0.8515,0.8514,0.9277,0.1485,not-balanced,60,90,10,8,1,885,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0025, 'trust': 0.001, 'a_score': 0.3528}",KNeighborsClassifier()
KNeighborsClassifier,0.8315,0.8405,0.8315,0.8305,0.151,0.849,0.8675,0.849,0.8472,0.8503,0.8681,0.8503,0.8486,0.9346,0.1497,not-balanced,60,90,10,2,1,191,kbest,"['fear', 'trust', 'a_score']","{'fear': -0.0013, 'trust': 0.0005, 'a_score': 0.3515}",KNeighborsClassifier()
KNeighborsClassifier,0.8388,0.8548,0.8388,0.837,0.1528,0.8472,0.8497,0.8472,0.8469,0.85,0.8522,0.85,0.8498,0.9329,0.15,not-balanced,60,90,10,10,5,199,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0009, 'trust': -0.0003, 'a_score': 0.3506}",KNeighborsClassifier()
KNeighborsClassifier,0.8435,0.856,0.8435,0.842,0.1566,0.8434,0.8453,0.8434,0.8433,0.8498,0.852,0.8498,0.8497,0.9333,0.1502,not-balanced,60,90,10,4,2,603,kbest,"['anticipation', 'trust', 'a_score']","{'anticipation': 0.0008, 'trust': 0.002, 'a_score': 0.3525}",KNeighborsClassifier()
KNeighborsClassifier,0.8366,0.8505,0.8366,0.8349,0.148,0.852,0.8524,0.852,0.852,0.8487,0.8489,0.8487,0.8487,0.9299,0.1513,not-balanced,60,90,10,8,4,571,kbest,"['fear', 'disgust', 'a_score']","{'fear': 0.0024, 'disgust': 0.0008, 'a_score': 0.3489}",KNeighborsClassifier()
KNeighborsClassifier,0.8248,0.8338,0.8248,0.8235,0.1487,0.8513,0.8519,0.8513,0.8513,0.8484,0.8488,0.8484,0.8484,0.9304,0.1516,not-balanced,60,90,10,1,3,494,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0026, 'trust': 0.0015, 'a_score': 0.3484}",KNeighborsClassifier()
KNeighborsClassifier,0.8427,0.8524,0.8427,0.8417,0.1528,0.8472,0.8645,0.8472,0.8454,0.8481,0.8653,0.8481,0.8464,0.9363,0.1519,not-balanced,60,90,10,6,5,525,kbest,"['fear', 'anticipation', 'a_score']","{'fear': 0.0014, 'anticipation': 0.0013, 'a_score': 0.3507}",KNeighborsClassifier()
KNeighborsClassifier,0.8389,0.8493,0.8389,0.8379,0.1519,0.8481,0.8641,0.8481,0.8464,0.8479,0.8637,0.8479,0.8463,0.9299,0.1521,not-balanced,60,90,10,10,1,5,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0026, 'trust': 0.0015, 'a_score': 0.3498}",KNeighborsClassifier()
KNeighborsClassifier,0.8402,0.8551,0.8402,0.8387,0.1521,0.8479,0.8634,0.8479,0.8463,0.8474,0.8631,0.8474,0.8458,0.9265,0.1526,not-balanced,60,90,10,7,5,807,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0021, 'trust': 0.0019, 'a_score': 0.3488}",KNeighborsClassifier()
KNeighborsClassifier,0.8373,0.8463,0.8373,0.8362,0.1552,0.8448,0.8689,0.8448,0.8424,0.8474,0.8698,0.8474,0.8451,0.9412,0.1526,not-balanced,60,90,10,5,4,389,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0013, 'trust': -0.0, 'a_score': 0.3479}",KNeighborsClassifier()
KNeighborsClassifier,0.8378,0.8487,0.8378,0.8365,0.1538,0.8462,0.8604,0.8462,0.8446,0.8472,0.8621,0.8472,0.8457,0.9357,0.1528,not-balanced,60,90,10,6,4,757,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0012, 'trust': 0.0027, 'a_score': 0.3456}",KNeighborsClassifier()
