Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.8415,0.8489,0.8415,0.7278,0.8578,0.875,0.8578,0.8579,0.8507,0.867,0.8507,0.8496,0.9631,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0096, 'anger': 0.0076, 'anticipation': 0.0086, 'trust': 0.011, 'surprise': 0.0072, 'sadness': 0.0082, 'disgust': 0.0095, 'joy': 0.0084, 'a_score': 0.4391}",RandomForestClassifier()
DecisionTreeClassifier,0.8435,0.8527,0.8435,0.747,0.8494,0.8705,0.8494,0.851,0.8507,0.8664,0.8507,0.8502,0.9421,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0148, 'anger': 0.0059, 'anticipation': 0.0104, 'trust': 0.0145, 'surprise': 0.0117, 'sadness': 0.0152, 'disgust': 0.0106, 'joy': 0.0119, 'a_score': 0.4403}",DecisionTreeClassifier()
RandomForestClassifier,0.8488,0.851,0.8488,0.7365,0.8434,0.8629,0.8434,0.8424,0.8499,0.8692,0.8499,0.8491,0.9638,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0114, 'anger': 0.0079, 'anticipation': 0.0092, 'trust': 0.0127, 'surprise': 0.0076, 'sadness': 0.0095, 'disgust': 0.0091, 'joy': 0.0092, 'a_score': 0.4413}",RandomForestClassifier()
RandomForestClassifier,0.8491,0.8618,0.8491,0.7759,0.8408,0.8563,0.8408,0.8418,0.8499,0.8659,0.8499,0.8489,0.9632,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0141, 'anger': 0.0072, 'anticipation': 0.01, 'trust': 0.0109, 'surprise': 0.0073, 'sadness': 0.0122, 'disgust': 0.0077, 'joy': 0.0097, 'a_score': 0.4361}",RandomForestClassifier()
RandomForestClassifier,0.8468,0.8452,0.8468,0.7223,0.8492,0.8716,0.8492,0.8498,0.8496,0.8687,0.8496,0.8489,0.9634,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.013, 'anger': 0.0061, 'anticipation': 0.0086, 'trust': 0.0114, 'surprise': 0.0082, 'sadness': 0.0089, 'disgust': 0.0087, 'joy': 0.0113, 'a_score': 0.4473}",RandomForestClassifier()
DecisionTreeClassifier,0.8518,0.8684,0.8518,0.7947,0.8157,0.8427,0.8157,0.8187,0.8493,0.8685,0.8493,0.849,0.9487,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0161, 'anger': 0.0107, 'anticipation': 0.0076, 'trust': 0.0136, 'surprise': 0.0099, 'sadness': 0.0131, 'disgust': 0.0106, 'joy': 0.0101, 'a_score': 0.4458}",DecisionTreeClassifier()
RandomForestClassifier,0.85,0.8665,0.85,0.7839,0.8398,0.8605,0.8398,0.842,0.8493,0.8642,0.8493,0.8483,0.9624,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0106, 'anger': 0.0064, 'anticipation': 0.0104, 'trust': 0.0119, 'surprise': 0.0085, 'sadness': 0.0106, 'disgust': 0.0073, 'joy': 0.0114, 'a_score': 0.4377}",RandomForestClassifier()
DecisionTreeClassifier,0.8462,0.8494,0.8462,0.7365,0.8589,0.8726,0.8589,0.8598,0.8459,0.8576,0.8459,0.8452,0.9463,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0156, 'anger': 0.0074, 'anticipation': 0.0115, 'trust': 0.0168, 'surprise': 0.0081, 'sadness': 0.0154, 'disgust': 0.009, 'joy': 0.0089, 'a_score': 0.4392}",DecisionTreeClassifier()
RandomForestClassifier,0.8464,0.8529,0.8464,0.7485,0.841,0.8583,0.841,0.8411,0.8451,0.8619,0.8451,0.8444,0.9634,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0118, 'anger': 0.0065, 'anticipation': 0.0071, 'trust': 0.0096, 'surprise': 0.0078, 'sadness': 0.0109, 'disgust': 0.0071, 'joy': 0.0083, 'a_score': 0.4392}",RandomForestClassifier()
DecisionTreeClassifier,0.8479,0.8564,0.8479,0.7587,0.841,0.8547,0.841,0.8415,0.8445,0.857,0.8445,0.8439,0.948,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.017, 'anger': 0.0079, 'anticipation': 0.0097, 'trust': 0.0164, 'surprise': 0.0086, 'sadness': 0.0141, 'disgust': 0.0109, 'joy': 0.01, 'a_score': 0.4437}",DecisionTreeClassifier()
RandomForestClassifier,0.8464,0.8463,0.8464,0.7252,0.8422,0.8422,0.8422,0.8272,0.8426,0.8291,0.8426,0.8269,0.9631,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0112, 'anger': 0.0055, 'anticipation': 0.0068, 'trust': 0.0118, 'surprise': 0.0077, 'sadness': 0.0097, 'disgust': 0.0077, 'joy': 0.0082, 'a_score': 0.4139}",RandomForestClassifier()
RandomForestClassifier,0.8457,0.8351,0.8457,0.6974,0.8494,0.8341,0.8494,0.8364,0.8423,0.8319,0.8423,0.831,0.9625,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0138, 'anger': 0.0065, 'anticipation': 0.0072, 'trust': 0.0122, 'surprise': 0.0079, 'sadness': 0.0107, 'disgust': 0.0084, 'joy': 0.0072, 'a_score': 0.4186}",RandomForestClassifier()
DecisionTreeClassifier,0.8462,0.8443,0.8462,0.7158,0.8444,0.8354,0.8444,0.8315,0.842,0.8287,0.842,0.8255,0.948,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0166, 'anger': 0.0081, 'anticipation': 0.0105, 'trust': 0.0155, 'surprise': 0.0099, 'sadness': 0.0136, 'disgust': 0.013, 'joy': 0.0118, 'a_score': 0.4127}",DecisionTreeClassifier()
RandomForestClassifier,0.8464,0.8434,0.8464,0.7171,0.8554,0.8397,0.8554,0.8372,0.842,0.829,0.842,0.8266,0.9632,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0118, 'anger': 0.0066, 'anticipation': 0.0071, 'trust': 0.0119, 'surprise': 0.0081, 'sadness': 0.0099, 'disgust': 0.0101, 'joy': 0.0082, 'a_score': 0.4176}",RandomForestClassifier()
DecisionTreeClassifier,0.844,0.8417,0.844,0.7093,0.8554,0.8455,0.8554,0.843,0.8417,0.8284,0.8417,0.8252,0.9492,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0156, 'anger': 0.0077, 'anticipation': 0.0102, 'trust': 0.0143, 'surprise': 0.0095, 'sadness': 0.0144, 'disgust': 0.0106, 'joy': 0.0099, 'a_score': 0.4122}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8452,0.8379,0.8452,0.6959,0.8434,0.8326,0.8434,0.832,0.8417,0.8303,0.8417,0.8294,0.9446,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0163, 'anger': 0.0088, 'anticipation': 0.0077, 'trust': 0.0146, 'surprise': 0.0079, 'sadness': 0.0141, 'disgust': 0.01, 'joy': 0.0099, 'a_score': 0.416}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8487,0.8402,0.8487,0.6915,0.8373,0.8234,0.8373,0.8237,0.8409,0.8272,0.8409,0.8249,0.9474,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0179, 'anger': 0.0098, 'anticipation': 0.0133, 'trust': 0.0137, 'surprise': 0.0095, 'sadness': 0.0175, 'disgust': 0.0095, 'joy': 0.0098, 'a_score': 0.4101}",DecisionTreeClassifier()
RandomForestClassifier,0.8469,0.853,0.8469,0.7349,0.8578,0.8548,0.8578,0.8498,0.8409,0.8279,0.8409,0.8271,0.9624,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0116, 'anger': 0.0069, 'anticipation': 0.0093, 'trust': 0.0108, 'surprise': 0.0088, 'sadness': 0.0109, 'disgust': 0.0088, 'joy': 0.0083, 'a_score': 0.4093}",RandomForestClassifier()
