Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.8424,0.853,0.8424,0.8413,0.8578,0.8756,0.8578,0.8562,0.851,0.8631,0.851,0.8498,0.9274,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0082, 'anger': 0.0092, 'anticipation': 0.0085, 'trust': 0.0109, 'surprise': 0.0087, 'sadness': 0.0172, 'disgust': 0.007, 'joy': 0.0149, 'a_score': 0.3705}",DecisionTreeClassifier()
RandomForestClassifier,0.8459,0.8478,0.8459,0.8458,0.8251,0.8272,0.8251,0.8248,0.8501,0.8521,0.8501,0.8499,0.9411,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.009, 'anger': 0.007, 'anticipation': 0.0089, 'trust': 0.0084, 'surprise': 0.0077, 'sadness': 0.0135, 'disgust': 0.0063, 'joy': 0.0138, 'a_score': 0.3627}",RandomForestClassifier()
RandomForestClassifier,0.8464,0.8609,0.8464,0.845,0.8325,0.8503,0.8325,0.8305,0.8498,0.8646,0.8498,0.8484,0.9411,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0078, 'anger': 0.0094, 'anticipation': 0.0095, 'trust': 0.0109, 'surprise': 0.0081, 'sadness': 0.0127, 'disgust': 0.0057, 'joy': 0.0146, 'a_score': 0.3677}",RandomForestClassifier()
RandomForestClassifier,0.844,0.8541,0.844,0.843,0.8337,0.8528,0.8337,0.8316,0.8498,0.8639,0.8498,0.8484,0.9412,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0093, 'anger': 0.0078, 'anticipation': 0.0085, 'trust': 0.0105, 'surprise': 0.008, 'sadness': 0.0135, 'disgust': 0.0041, 'joy': 0.0119, 'a_score': 0.3687}",RandomForestClassifier()
RandomForestClassifier,0.8431,0.8474,0.8431,0.8427,0.8482,0.8489,0.8482,0.8481,0.8496,0.8513,0.8496,0.8494,0.9396,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0089, 'anger': 0.0069, 'anticipation': 0.0081, 'trust': 0.0101, 'surprise': 0.0076, 'sadness': 0.0144, 'disgust': 0.0063, 'joy': 0.0132, 'a_score': 0.362}",RandomForestClassifier()
RandomForestClassifier,0.8431,0.852,0.8431,0.8422,0.853,0.8531,0.853,0.853,0.8487,0.8506,0.8487,0.8485,0.9411,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0086, 'anger': 0.0078, 'anticipation': 0.0086, 'trust': 0.0094, 'surprise': 0.008, 'sadness': 0.0137, 'disgust': 0.0062, 'joy': 0.0124, 'a_score': 0.3607}",RandomForestClassifier()
RandomForestClassifier,0.8361,0.8422,0.8361,0.8355,0.8554,0.8561,0.8554,0.8554,0.8484,0.8496,0.8484,0.8483,0.9401,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0103, 'anger': 0.0068, 'anticipation': 0.0085, 'trust': 0.0093, 'surprise': 0.0079, 'sadness': 0.0138, 'disgust': 0.005, 'joy': 0.0124, 'a_score': 0.3613}",RandomForestClassifier()
RandomForestClassifier,0.8421,0.8469,0.8421,0.8417,0.8554,0.8573,0.8554,0.8553,0.8481,0.8496,0.8481,0.848,0.9404,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0081, 'anger': 0.0071, 'anticipation': 0.0094, 'trust': 0.0107, 'surprise': 0.007, 'sadness': 0.0161, 'disgust': 0.0064, 'joy': 0.0127, 'a_score': 0.3666}",RandomForestClassifier()
RandomForestClassifier,0.843,0.8518,0.843,0.8421,0.8518,0.8541,0.8518,0.8516,0.8481,0.8501,0.8481,0.848,0.9398,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0082, 'anger': 0.007, 'anticipation': 0.0088, 'trust': 0.0091, 'surprise': 0.0076, 'sadness': 0.0139, 'disgust': 0.005, 'joy': 0.0125, 'a_score': 0.3687}",RandomForestClassifier()
DecisionTreeClassifier,0.8403,0.8489,0.8403,0.8394,0.8434,0.853,0.8434,0.8424,0.8479,0.8587,0.8479,0.8468,0.9275,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.012, 'anger': 0.0089, 'anticipation': 0.0108, 'trust': 0.0107, 'surprise': 0.0089, 'sadness': 0.0165, 'disgust': 0.0067, 'joy': 0.0146, 'a_score': 0.373}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8476,0.8487,0.8476,0.8475,0.8253,0.8259,0.8253,0.8252,0.8476,0.8487,0.8476,0.8475,0.9273,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.009, 'anger': 0.0076, 'anticipation': 0.0113, 'trust': 0.0097, 'surprise': 0.0073, 'sadness': 0.0183, 'disgust': 0.0066, 'joy': 0.0138, 'a_score': 0.3683}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8447,0.8465,0.8447,0.8445,0.8299,0.8306,0.8299,0.8298,0.847,0.8481,0.847,0.8469,0.9279,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0115, 'anger': 0.0113, 'anticipation': 0.0112, 'trust': 0.0091, 'surprise': 0.0083, 'sadness': 0.016, 'disgust': 0.0085, 'joy': 0.0141, 'a_score': 0.3707}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8389,0.8477,0.8389,0.838,0.8446,0.8598,0.8446,0.843,0.8467,0.8601,0.8467,0.8454,0.9251,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0085, 'anger': 0.0099, 'anticipation': 0.0108, 'trust': 0.0108, 'surprise': 0.0085, 'sadness': 0.015, 'disgust': 0.0069, 'joy': 0.0172, 'a_score': 0.3676}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8413,0.8462,0.8413,0.8408,0.847,0.8471,0.847,0.847,0.8462,0.8467,0.8462,0.8461,0.9266,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0097, 'anger': 0.0105, 'anticipation': 0.0092, 'trust': 0.0101, 'surprise': 0.0092, 'sadness': 0.0213, 'disgust': 0.0057, 'joy': 0.0162, 'a_score': 0.3668}",DecisionTreeClassifier()
RandomForestClassifier,0.8434,0.8502,0.8434,0.8427,0.8494,0.8594,0.8494,0.8484,0.8459,0.8601,0.8459,0.8444,0.9409,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.009, 'anger': 0.0074, 'anticipation': 0.0081, 'trust': 0.0128, 'surprise': 0.0087, 'sadness': 0.0152, 'disgust': 0.0062, 'joy': 0.0141, 'a_score': 0.36}",RandomForestClassifier()
DecisionTreeClassifier,0.8421,0.8448,0.8421,0.8419,0.853,0.8533,0.853,0.853,0.8456,0.8465,0.8456,0.8455,0.9273,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0104, 'anger': 0.0091, 'anticipation': 0.0137, 'trust': 0.0108, 'surprise': 0.0096, 'sadness': 0.0178, 'disgust': 0.0069, 'joy': 0.0138, 'a_score': 0.368}",DecisionTreeClassifier()
RandomForestClassifier,0.8454,0.8466,0.8454,0.8453,0.8265,0.8303,0.8265,0.8261,0.8456,0.8475,0.8456,0.8454,0.941,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0089, 'anger': 0.0081, 'anticipation': 0.0102, 'trust': 0.0089, 'surprise': 0.0091, 'sadness': 0.0157, 'disgust': 0.0065, 'joy': 0.0133, 'a_score': 0.3599}",RandomForestClassifier()
DecisionTreeClassifier,0.8428,0.8457,0.8428,0.8425,0.8325,0.8326,0.8325,0.8325,0.8453,0.8465,0.8453,0.8452,0.9282,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0087, 'anger': 0.0076, 'anticipation': 0.0111, 'trust': 0.0107, 'surprise': 0.0106, 'sadness': 0.0193, 'disgust': 0.0069, 'joy': 0.016, 'a_score': 0.3674}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8409,0.8455,0.8409,0.8405,0.8506,0.8528,0.8506,0.8504,0.8445,0.8453,0.8445,0.8444,0.9286,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.011, 'anger': 0.0107, 'anticipation': 0.0093, 'trust': 0.0125, 'surprise': 0.0083, 'sadness': 0.0181, 'disgust': 0.0069, 'joy': 0.0137, 'a_score': 0.3691}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8409,0.845,0.8409,0.8406,0.8578,0.8585,0.8578,0.8578,0.8434,0.8437,0.8434,0.8433,0.9287,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0109, 'anger': 0.0087, 'anticipation': 0.0108, 'trust': 0.0106, 'surprise': 0.0081, 'sadness': 0.0176, 'disgust': 0.0071, 'joy': 0.0138, 'a_score': 0.3634}",DecisionTreeClassifier()
