Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.9104,0.9157,0.9104,0.8988,0.906,0.9158,0.906,0.9027,0.9184,0.9244,0.9184,0.9163,0.9657,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0055, 'anger': 0.0041, 'anticipation': 0.0081, 'trust': 0.0054, 'surprise': 0.0055, 'sadness': 0.0098, 'disgust': 0.0044, 'joy': 0.0045, 'a_score': 0.3684}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9123,0.9185,0.9123,0.9006,0.9048,0.9097,0.9048,0.9023,0.917,0.9223,0.917,0.9149,0.9636,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0053, 'anger': 0.0039, 'anticipation': 0.0052, 'trust': 0.0069, 'surprise': 0.0058, 'sadness': 0.0096, 'disgust': 0.0047, 'joy': 0.0065, 'a_score': 0.3678}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9096,0.9156,0.9096,0.8977,0.9217,0.9296,0.9217,0.9194,0.9165,0.9231,0.9165,0.9141,0.9619,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0046, 'anger': 0.0036, 'anticipation': 0.0042, 'trust': 0.0068, 'surprise': 0.0036, 'sadness': 0.0077, 'disgust': 0.0036, 'joy': 0.0063, 'a_score': 0.3652}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9108,0.9168,0.9108,0.8991,0.9169,0.9238,0.9169,0.9145,0.9165,0.9222,0.9165,0.9143,0.9638,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0048, 'anger': 0.0029, 'anticipation': 0.0058, 'trust': 0.0065, 'surprise': 0.0037, 'sadness': 0.0084, 'disgust': 0.0031, 'joy': 0.005, 'a_score': 0.3677}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9114,0.9172,0.9114,0.8997,0.9095,0.9178,0.9095,0.9066,0.9162,0.9225,0.9162,0.9139,0.964,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0059, 'anger': 0.0025, 'anticipation': 0.0055, 'trust': 0.0062, 'surprise': 0.0047, 'sadness': 0.0093, 'disgust': 0.0039, 'joy': 0.005, 'a_score': 0.3671}",DecisionTreeClassifier()
RandomForestClassifier,0.9079,0.9145,0.9079,0.8954,0.9205,0.9267,0.9205,0.9183,0.9162,0.9224,0.9162,0.9139,0.973,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0059, 'anger': 0.0041, 'anticipation': 0.0049, 'trust': 0.0063, 'surprise': 0.0052, 'sadness': 0.0084, 'disgust': 0.0059, 'joy': 0.0055, 'a_score': 0.3608}",RandomForestClassifier()
DecisionTreeClassifier,0.9108,0.9164,0.9108,0.8992,0.9084,0.9107,0.9084,0.9067,0.9159,0.9216,0.9159,0.9137,0.9643,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0043, 'anger': 0.0038, 'anticipation': 0.0065, 'trust': 0.0068, 'surprise': 0.0042, 'sadness': 0.0086, 'disgust': 0.005, 'joy': 0.0068, 'a_score': 0.363}",DecisionTreeClassifier()
RandomForestClassifier,0.9112,0.9167,0.9112,0.8997,0.8928,0.9016,0.8928,0.8889,0.9156,0.9217,0.9156,0.9134,0.9742,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0053, 'anger': 0.0045, 'anticipation': 0.0055, 'trust': 0.0073, 'surprise': 0.0051, 'sadness': 0.0082, 'disgust': 0.0063, 'joy': 0.0054, 'a_score': 0.3642}",RandomForestClassifier()
DecisionTreeClassifier,0.9088,0.9146,0.9088,0.8968,0.918,0.9247,0.918,0.9157,0.9156,0.9218,0.9156,0.9133,0.9615,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0034, 'anger': 0.0029, 'anticipation': 0.006, 'trust': 0.0056, 'surprise': 0.0047, 'sadness': 0.0075, 'disgust': 0.0045, 'joy': 0.0057, 'a_score': 0.3639}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9102,0.9157,0.9102,0.8984,0.906,0.9118,0.906,0.9034,0.9154,0.9207,0.9154,0.9132,0.9632,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0044, 'anger': 0.0033, 'anticipation': 0.0055, 'trust': 0.0069, 'surprise': 0.0051, 'sadness': 0.0083, 'disgust': 0.0058, 'joy': 0.007, 'a_score': 0.3684}",DecisionTreeClassifier()
