Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.9237,0.9241,0.9237,0.8842,0.9247,0.9242,0.9247,0.9225,0.8018,0.7837,0.8018,0.775,0.9484,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0052, 'anger': 0.0019, 'anticipation': 0.0115, 'trust': 0.0147, 'surprise': 0.0098, 'sadness': 0.0056, 'disgust': 0.0042, 'joy': 0.007, 'a_score': 0.2701}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9257,0.9264,0.9257,0.8881,0.9337,0.9335,0.9337,0.9309,0.8009,0.7833,0.8009,0.7741,0.9458,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.005, 'anger': 0.0048, 'anticipation': 0.007, 'trust': 0.0152, 'surprise': 0.0072, 'sadness': 0.0072, 'disgust': 0.0056, 'joy': 0.005, 'a_score': 0.2848}",DecisionTreeClassifier()
DecisionTreeClassifier,0.925,0.9257,0.925,0.886,0.9367,0.9384,0.9367,0.9334,0.8001,0.7832,0.8001,0.7733,0.9468,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.005, 'anger': 0.0023, 'anticipation': 0.006, 'trust': 0.0159, 'surprise': 0.0064, 'sadness': 0.0058, 'disgust': 0.0035, 'joy': 0.0042, 'a_score': 0.2775}",DecisionTreeClassifier()
DecisionTreeClassifier,0.922,0.9221,0.922,0.8814,0.9367,0.938,0.9367,0.9347,0.7992,0.7823,0.7992,0.7725,0.9457,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.005, 'anger': 0.0015, 'anticipation': 0.011, 'trust': 0.0138, 'surprise': 0.0062, 'sadness': 0.0072, 'disgust': 0.0044, 'joy': 0.0042, 'a_score': 0.2707}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9253,0.9259,0.9253,0.8884,0.9247,0.9228,0.9247,0.9227,0.7992,0.7807,0.7992,0.7725,0.9495,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0047, 'anger': 0.0043, 'anticipation': 0.0086, 'trust': 0.0159, 'surprise': 0.0091, 'sadness': 0.0088, 'disgust': 0.0062, 'joy': 0.0048, 'a_score': 0.2806}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9263,0.9268,0.9263,0.8874,0.9307,0.9314,0.9307,0.9284,0.7988,0.7809,0.7988,0.7721,0.9481,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.008, 'anger': 0.0031, 'anticipation': 0.0097, 'trust': 0.0163, 'surprise': 0.0085, 'sadness': 0.0085, 'disgust': 0.0052, 'joy': 0.0058, 'a_score': 0.2761}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9274,0.9282,0.9274,0.8906,0.8973,0.8989,0.8973,0.891,0.7988,0.7817,0.7988,0.772,0.9502,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0057, 'anger': 0.0037, 'anticipation': 0.0093, 'trust': 0.0167, 'surprise': 0.0076, 'sadness': 0.0068, 'disgust': 0.0079, 'joy': 0.0066, 'a_score': 0.2796}",DecisionTreeClassifier()
DecisionTreeClassifier,0.928,0.9298,0.928,0.891,0.9307,0.9295,0.9307,0.9285,0.7984,0.7799,0.7984,0.7717,0.9477,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0053, 'anger': 0.0027, 'anticipation': 0.0134, 'trust': 0.0176, 'surprise': 0.0099, 'sadness': 0.0082, 'disgust': 0.004, 'joy': 0.0056, 'a_score': 0.2775}",DecisionTreeClassifier()
DecisionTreeClassifier,0.927,0.9281,0.927,0.8888,0.9157,0.9169,0.9157,0.9112,0.798,0.7805,0.798,0.7712,0.9475,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0053, 'anger': 0.0061, 'anticipation': 0.0088, 'trust': 0.0114, 'surprise': 0.0086, 'sadness': 0.0087, 'disgust': 0.0056, 'joy': 0.0027, 'a_score': 0.276}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9267,0.9271,0.9267,0.8888,0.9247,0.9279,0.9247,0.9205,0.798,0.7813,0.798,0.7712,0.9466,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0038, 'anger': 0.0019, 'anticipation': 0.0075, 'trust': 0.0159, 'surprise': 0.0076, 'sadness': 0.0066, 'disgust': 0.0061, 'joy': 0.0058, 'a_score': 0.2726}",DecisionTreeClassifier()
