Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.9264,0.9275,0.9264,0.8876,0.9247,0.9247,0.9247,0.922,0.8001,0.7836,0.8001,0.7733,0.9653,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0051, 'anger': 0.0046, 'anticipation': 0.0067, 'trust': 0.0137, 'surprise': 0.0061, 'sadness': 0.0049, 'disgust': 0.0031, 'joy': 0.0025, 'a_score': 0.2718}",RandomForestClassifier()
RandomForestClassifier,0.927,0.9279,0.927,0.889,0.9127,0.9178,0.9127,0.9074,0.7997,0.7842,0.7997,0.7728,0.9669,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0056, 'anger': 0.0047, 'anticipation': 0.0073, 'trust': 0.0146, 'surprise': 0.0054, 'sadness': 0.0054, 'disgust': 0.0029, 'joy': 0.0025, 'a_score': 0.2796}",RandomForestClassifier()
RandomForestClassifier,0.9264,0.9277,0.9264,0.8895,0.9337,0.9321,0.9337,0.9324,0.7997,0.7822,0.7997,0.7729,0.9672,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0066, 'anger': 0.0032, 'anticipation': 0.0072, 'trust': 0.0159, 'surprise': 0.007, 'sadness': 0.0055, 'disgust': 0.0034, 'joy': 0.0045, 'a_score': 0.2776}",RandomForestClassifier()
RandomForestClassifier,0.9274,0.9284,0.9274,0.8896,0.9217,0.9238,0.9217,0.9177,0.7997,0.7842,0.7997,0.7728,0.969,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0064, 'anger': 0.0037, 'anticipation': 0.0059, 'trust': 0.0143, 'surprise': 0.0062, 'sadness': 0.0048, 'disgust': 0.0027, 'joy': 0.0029, 'a_score': 0.2739}",RandomForestClassifier()
RandomForestClassifier,0.9257,0.9272,0.9257,0.8884,0.9337,0.9345,0.9337,0.9306,0.7988,0.7825,0.7988,0.772,0.967,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.006, 'anger': 0.0044, 'anticipation': 0.007, 'trust': 0.0145, 'surprise': 0.0058, 'sadness': 0.0054, 'disgust': 0.0033, 'joy': 0.002, 'a_score': 0.2712}",RandomForestClassifier()
RandomForestClassifier,0.9237,0.9252,0.9237,0.8847,0.9307,0.9344,0.9307,0.9262,0.798,0.7829,0.798,0.7711,0.9666,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0052, 'anger': 0.0034, 'anticipation': 0.008, 'trust': 0.0139, 'surprise': 0.0052, 'sadness': 0.0065, 'disgust': 0.0031, 'joy': 0.0036, 'a_score': 0.2776}",RandomForestClassifier()
RandomForestClassifier,0.927,0.9294,0.927,0.8885,0.9367,0.9387,0.9367,0.934,0.798,0.7821,0.798,0.7712,0.9679,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0069, 'anger': 0.0047, 'anticipation': 0.007, 'trust': 0.0153, 'surprise': 0.0067, 'sadness': 0.0056, 'disgust': 0.0037, 'joy': 0.0037, 'a_score': 0.2668}",RandomForestClassifier()
RandomForestClassifier,0.926,0.9274,0.926,0.8859,0.9366,0.9386,0.9366,0.9338,0.798,0.7833,0.798,0.7711,0.9668,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0057, 'anger': 0.0036, 'anticipation': 0.0076, 'trust': 0.0098, 'surprise': 0.0068, 'sadness': 0.0053, 'disgust': 0.0031, 'joy': 0.0037, 'a_score': 0.2684}",RandomForestClassifier()
RandomForestClassifier,0.93,0.9317,0.93,0.8922,0.9036,0.905,0.9036,0.8985,0.7976,0.7814,0.7976,0.7708,0.9666,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0054, 'anger': 0.0035, 'anticipation': 0.0071, 'trust': 0.014, 'surprise': 0.0066, 'sadness': 0.0064, 'disgust': 0.003, 'joy': 0.0038, 'a_score': 0.2763}",RandomForestClassifier()
RandomForestClassifier,0.9257,0.9276,0.9257,0.8861,0.9578,0.9583,0.9578,0.9568,0.7976,0.781,0.7976,0.7708,0.9658,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0063, 'anger': 0.004, 'anticipation': 0.0076, 'trust': 0.0174, 'surprise': 0.007, 'sadness': 0.005, 'disgust': 0.0036, 'joy': 0.0031, 'a_score': 0.27}",RandomForestClassifier()
