Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;Folds;Feat. Selec. Strategy;Features;Model
KNeighborsClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;kbest;['trust', 'surprise', 'disgust', 'joy', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];KNeighborsClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;kbest;['trust', 'surprise', 'disgust', 'joy', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;kbest;['trust', 'surprise', 'disgust', 'joy', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;kbest;['trust', 'surprise', 'sadness', 'joy', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
KNeighborsClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;kbest;['trust', 'surprise', 'disgust', 'joy', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];KNeighborsClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;kbest;['trust', 'surprise', 'sadness', 'joy', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;kbest;['trust', 'surprise', 'sadness', 'joy', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;kbest;['trust', 'surprise', 'disgust', 'joy', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;kbest;['trust', 'surprise', 'sadness', 'joy', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];RandomForestClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;kbest;['trust', 'surprise', 'disgust', 'joy', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;kbest;['trust', 'surprise', 'disgust', 'joy', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;kbest;['trust', 'surprise', 'sadness', 'joy', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;not-balanced;10;kbest;['trust', 'surprise', 'sadness', 'joy', 'o_score', 'c_score', 'e_score', 'a_score', 'n_score'];DecisionTreeClassifier()
