Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Features;Features Importance;Model
RandomForestClassifier;0.6874;0.4726;0.6874;0.2716;0.6825;0.4658;0.6825;0.5537;0.4721;0.2229;0.4721;0.3028;0.5088;not-balanced;50;10;kbest;['surprise'];{'surprise': 0.0};RandomForestClassifier()
RandomForestClassifier;0.6871;0.4721;0.6871;0.2715;0.6854;0.4698;0.6854;0.5575;0.4721;0.2229;0.4721;0.3028;0.5077;not-balanced;50;10;kbest;['surprise'];{'surprise': 0.0};RandomForestClassifier()
RandomForestClassifier;0.6847;0.5217;0.6847;0.272;0.6939;0.5208;0.6939;0.5698;0.4721;0.4595;0.4721;0.304;0.5191;not-balanced;70;10;kbest;['trust', 'surprise', 'disgust', 'joy'];{'trust': 0.001, 'surprise': 0.0011, 'disgust': 0.0006, 'joy': 0.002};RandomForestClassifier()
RandomForestClassifier;0.686;0.4707;0.686;0.2713;0.6948;0.4827;0.6948;0.5697;0.4721;0.2229;0.4721;0.3028;0.5138;not-balanced;60;10;kbest;['surprise', 'joy'];{'surprise': 0.0, 'joy': 0.0};RandomForestClassifier()
RandomForestClassifier;0.686;0.4707;0.686;0.2713;0.6948;0.4827;0.6948;0.5697;0.4721;0.2229;0.4721;0.3028;0.5083;not-balanced;50;10;kbest;['surprise'];{'surprise': 0.0};RandomForestClassifier()
RandomForestClassifier;0.6859;0.4706;0.6859;0.2712;0.6957;0.484;0.6957;0.5708;0.4721;0.2229;0.4721;0.3028;0.5134;not-balanced;60;10;kbest;['surprise', 'joy'];{'surprise': 0.0, 'joy': 0.0};RandomForestClassifier()
RandomForestClassifier;0.6859;0.4707;0.6859;0.2712;0.6957;0.484;0.6957;0.5708;0.4721;0.2229;0.4721;0.3028;0.5058;not-balanced;50;10;kbest;['surprise'];{'surprise': 0.0};RandomForestClassifier()
RandomForestClassifier;0.6873;0.4725;0.6873;0.2715;0.6836;0.4674;0.6836;0.5552;0.4721;0.2229;0.4721;0.3028;0.5145;not-balanced;60;10;kbest;['surprise', 'joy'];{'surprise': 0.0, 'joy': 0.0};RandomForestClassifier()
RandomForestClassifier;0.6873;0.4724;0.6873;0.2715;0.6836;0.4674;0.6836;0.5552;0.4721;0.2229;0.4721;0.3028;0.5082;not-balanced;50;10;kbest;['surprise'];{'surprise': 0.0};RandomForestClassifier()
RandomForestClassifier;0.6871;0.4723;0.6871;0.2715;0.6848;0.469;0.6848;0.5567;0.4721;0.2229;0.4721;0.3028;0.5144;not-balanced;60;10;kbest;['surprise', 'joy'];{'surprise': 0.0, 'joy': 0.0};RandomForestClassifier()
RandomForestClassifier;0.6871;0.4723;0.6871;0.2715;0.6848;0.469;0.6848;0.5567;0.4721;0.2229;0.4721;0.3028;0.5076;not-balanced;50;10;kbest;['surprise'];{'surprise': 0.0};RandomForestClassifier()
RandomForestClassifier;0.6865;0.4713;0.6865;0.2714;0.6903;0.4765;0.6903;0.5638;0.4721;0.2229;0.4721;0.3028;0.5146;not-balanced;60;10;kbest;['surprise', 'joy'];{'surprise': 0.0, 'joy': 0.0};RandomForestClassifier()
RandomForestClassifier;0.6873;0.4726;0.6873;0.2716;0.6825;0.4658;0.6825;0.5537;0.4721;0.2229;0.4721;0.3028;0.5141;not-balanced;60;10;kbest;['surprise', 'joy'];{'surprise': 0.0, 'joy': 0.0};RandomForestClassifier()
RandomForestClassifier;0.687;0.4721;0.687;0.2715;0.6861;0.4707;0.6861;0.5583;0.4721;0.2229;0.4721;0.3028;0.5086;not-balanced;50;10;kbest;['joy'];{'joy': 0.0};RandomForestClassifier()
RandomForestClassifier;0.687;0.4721;0.687;0.2715;0.6854;0.4698;0.6854;0.5575;0.4721;0.2229;0.4721;0.3028;0.5148;not-balanced;60;10;kbest;['surprise', 'joy'];{'surprise': 0.0, 'joy': 0.0};RandomForestClassifier()
RandomForestClassifier;0.6865;0.4714;0.6865;0.2714;0.6903;0.4765;0.6903;0.5638;0.4721;0.2229;0.4721;0.3028;0.5067;not-balanced;50;10;kbest;['surprise'];{'surprise': 0.0};RandomForestClassifier()
RandomForestClassifier;0.6873;0.4724;0.6873;0.2715;0.6836;0.4674;0.6836;0.5552;0.4721;0.2229;0.4721;0.3028;0.5063;not-balanced;50;10;kbest;['surprise'];{'surprise': 0.0};RandomForestClassifier()
RandomForestClassifier;0.6874;0.4727;0.6874;0.2716;0.6822;0.4654;0.6822;0.5534;0.4721;0.2229;0.4721;0.3028;0.5073;not-balanced;50;10;kbest;['surprise'];{'surprise': 0.0};RandomForestClassifier()
RandomForestClassifier;0.6874;0.4726;0.6874;0.2716;0.6822;0.4654;0.6822;0.5534;0.4721;0.2229;0.4721;0.3028;0.5156;not-balanced;60;10;kbest;['surprise', 'joy'];{'surprise': 0.0, 'joy': 0.0};RandomForestClassifier()
RandomForestClassifier;0.687;0.483;0.687;0.2716;0.6861;0.4707;0.6861;0.5583;0.472;0.3541;0.472;0.3029;0.5151;not-balanced;60;10;kbest;['surprise', 'joy'];{'surprise': 0.0, 'joy': 0.0};RandomForestClassifier()
RandomForestClassifier;0.6862;0.5216;0.6862;0.2723;0.6836;0.569;0.6836;0.5557;0.472;0.4525;0.472;0.3035;0.5211;not-balanced;70;10;kbest;['trust', 'surprise', 'disgust', 'joy'];{'trust': 0.0009, 'surprise': 0.0008, 'disgust': 0.0006, 'joy': 0.0017};RandomForestClassifier()
RandomForestClassifier;0.6872;0.4724;0.6872;0.2715;0.6836;0.4674;0.6836;0.5552;0.472;0.2228;0.472;0.3027;0.5131;not-balanced;60;10;kbest;['surprise', 'joy'];{'surprise': 0.0, 'joy': 0.0};RandomForestClassifier()
