Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.6889,0.5439,0.6889,0.4083,0.6788,0.4608,0.6788,0.549,0.6347,0.4842,0.6347,0.4931,0.5184,not-balanced,50,10,kbest,['trust'],{'trust': 0.0001},DecisionTreeClassifier()
DecisionTreeClassifier,0.6866,0.5495,0.6866,0.4075,0.6985,0.7894,0.6985,0.5748,0.6347,0.4842,0.6347,0.4931,0.5208,not-balanced,50,10,kbest,['trust'],{'trust': 0.0001},DecisionTreeClassifier()
DecisionTreeClassifier,0.6864,0.5686,0.6864,0.4074,0.7009,0.4913,0.7009,0.5777,0.6347,0.4842,0.6347,0.4931,0.5189,not-balanced,50,10,kbest,['trust'],{'trust': 0.0001},DecisionTreeClassifier()
DecisionTreeClassifier,0.6892,0.5349,0.6892,0.4083,0.6773,0.4588,0.6773,0.547,0.6347,0.4842,0.6347,0.4931,0.5193,not-balanced,50,10,kbest,['trust'],{'trust': 0.0001},DecisionTreeClassifier()
DecisionTreeClassifier,0.6885,0.537,0.6885,0.408,0.6827,0.7834,0.6827,0.5543,0.6347,0.4842,0.6347,0.4931,0.52,not-balanced,50,10,kbest,['trust'],{'trust': 0.0001},DecisionTreeClassifier()
DecisionTreeClassifier,0.6875,0.5716,0.6875,0.4078,0.6915,0.4781,0.6915,0.5653,0.6347,0.4842,0.6347,0.4931,0.5199,not-balanced,50,10,kbest,['trust'],{'trust': 0.0002},DecisionTreeClassifier()
DecisionTreeClassifier,0.6891,0.5589,0.6891,0.4085,0.6773,0.4588,0.6773,0.547,0.6347,0.4842,0.6347,0.4931,0.5201,not-balanced,50,10,kbest,['trust'],{'trust': 0.0001},DecisionTreeClassifier()
DecisionTreeClassifier,0.6876,0.5021,0.6876,0.408,0.6888,0.4744,0.6888,0.5618,0.6347,0.4842,0.6347,0.4931,0.5199,not-balanced,50,10,kbest,['trust'],{'trust': 0.0002},DecisionTreeClassifier()
DecisionTreeClassifier,0.6887,0.5852,0.6887,0.4093,0.677,0.4587,0.677,0.5469,0.6345,0.403,0.6345,0.4929,0.5247,not-balanced,60,10,kbest,"['trust', 'sadness']","{'trust': 0.0002, 'sadness': 0.0001}",DecisionTreeClassifier()
DecisionTreeClassifier,0.6878,0.6098,0.6878,0.4091,0.6867,0.5763,0.6867,0.5599,0.6345,0.5141,0.6345,0.4934,0.5256,not-balanced,60,10,kbest,"['trust', 'sadness']","{'trust': 0.0004, 'sadness': 0.0002}",DecisionTreeClassifier()
DecisionTreeClassifier,0.6855,0.5984,0.6855,0.4201,0.6821,0.5586,0.6821,0.5625,0.6344,0.5776,0.6344,0.5004,0.534,not-balanced,80,10,kbest,"['fear', 'anger', 'trust', 'sadness', 'disgust']","{'fear': 0.0053, 'anger': 0.0074, 'trust': 0.0053, 'sadness': 0.0056, 'disgust': 0.0047}",DecisionTreeClassifier()
DecisionTreeClassifier,0.6884,0.5927,0.6884,0.4087,0.6827,0.7834,0.6827,0.5543,0.6344,0.4798,0.6344,0.4932,0.524,not-balanced,60,10,kbest,"['trust', 'sadness']","{'trust': 0.0003, 'sadness': 0.0002}",DecisionTreeClassifier()
DecisionTreeClassifier,0.6892,0.5815,0.6892,0.4088,0.677,0.4587,0.677,0.5469,0.6344,0.4841,0.6344,0.4932,0.5239,not-balanced,60,10,kbest,"['trust', 'sadness']","{'trust': 0.0003, 'sadness': 0.0002}",DecisionTreeClassifier()
DecisionTreeClassifier,0.6869,0.6373,0.6869,0.4085,0.6966,0.486,0.6966,0.5725,0.6343,0.509,0.6343,0.4935,0.5197,not-balanced,50,10,kbest,['trust'],{'trust': 0.0007},DecisionTreeClassifier()
DecisionTreeClassifier,0.6881,0.6051,0.6881,0.4094,0.6864,0.5501,0.6864,0.5597,0.6343,0.509,0.6343,0.4935,0.5203,not-balanced,50,10,kbest,['trust'],{'trust': 0.0006},DecisionTreeClassifier()
DecisionTreeClassifier,0.6862,0.5999,0.6862,0.4162,0.6885,0.6268,0.6885,0.5708,0.634,0.5633,0.634,0.4982,0.5272,not-balanced,70,10,kbest,"['fear', 'trust', 'sadness', 'disgust']","{'fear': 0.0036, 'trust': 0.003, 'sadness': 0.0026, 'disgust': 0.0022}",DecisionTreeClassifier()
DecisionTreeClassifier,0.6855,0.6021,0.6855,0.4162,0.697,0.6176,0.697,0.58,0.6339,0.5581,0.6339,0.4976,0.5298,not-balanced,70,10,kbest,"['fear', 'trust', 'sadness', 'disgust']","{'fear': 0.004, 'trust': 0.0033, 'sadness': 0.0034, 'disgust': 0.0031}",DecisionTreeClassifier()
DecisionTreeClassifier,0.6844,0.5862,0.6844,0.4149,0.7018,0.6616,0.7018,0.5852,0.6339,0.5622,0.6339,0.4984,0.5246,not-balanced,70,10,kbest,"['fear', 'trust', 'sadness', 'disgust']","{'fear': 0.0038, 'trust': 0.0032, 'sadness': 0.0027, 'disgust': 0.0032}",DecisionTreeClassifier()
DecisionTreeClassifier,0.6874,0.601,0.6874,0.417,0.6806,0.6666,0.6806,0.5574,0.6339,0.5562,0.6339,0.4973,0.5303,not-balanced,70,10,kbest,"['fear', 'trust', 'sadness', 'disgust']","{'fear': 0.0027, 'trust': 0.0025, 'sadness': 0.0023, 'disgust': 0.0024}",DecisionTreeClassifier()
DecisionTreeClassifier,0.687,0.5319,0.687,0.4083,0.6915,0.6325,0.6915,0.5659,0.6339,0.4961,0.6339,0.4935,0.5247,not-balanced,60,10,kbest,"['trust', 'sadness']","{'trust': 0.0005, 'sadness': 0.0004}",DecisionTreeClassifier()
DecisionTreeClassifier,0.6868,0.6316,0.6868,0.4108,0.6963,0.5465,0.6963,0.5729,0.6338,0.5081,0.6338,0.4939,0.5231,not-balanced,60,10,kbest,"['trust', 'sadness']","{'trust': 0.0008, 'sadness': 0.0005}",DecisionTreeClassifier()
DecisionTreeClassifier,0.6871,0.5655,0.6871,0.4086,0.6888,0.6305,0.6888,0.5651,0.6338,0.4976,0.6338,0.4936,0.5232,not-balanced,60,10,kbest,"['trust', 'sadness']","{'trust': 0.0006, 'sadness': 0.0002}",DecisionTreeClassifier()
DecisionTreeClassifier,0.6862,0.5986,0.6862,0.4094,0.7006,0.6196,0.7006,0.5792,0.6338,0.4976,0.6338,0.4936,0.5239,not-balanced,60,10,kbest,"['trust', 'sadness']","{'trust': 0.0008, 'sadness': 0.0004}",DecisionTreeClassifier()
DecisionTreeClassifier,0.6867,0.6164,0.6867,0.4098,0.697,0.578,0.697,0.5752,0.6338,0.5081,0.6338,0.4939,0.5267,not-balanced,60,10,kbest,"['trust', 'sadness']","{'trust': 0.0009, 'sadness': 0.0005}",DecisionTreeClassifier()
