Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.7539,0.6,0.7539,0.4347,0.7651,0.668,0.7651,0.6713,0.4635,0.5121,0.4635,0.3062,0.4871,not-balanced,80,10,kbest,"['fear', 'trust', 'sadness', 'disgust', 'joy']","{'fear': 0.01, 'trust': 0.0131, 'sadness': 0.0108, 'disgust': 0.0067, 'joy': 0.0088}",DecisionTreeClassifier()
DecisionTreeClassifier,0.759,0.6599,0.759,0.4387,0.7922,0.6318,0.7922,0.703,0.4623,0.4761,0.4623,0.3009,0.5246,not-balanced,70,10,kbest,"['fear', 'anticipation', 'sadness', 'joy']","{'fear': 0.007, 'anticipation': 0.0086, 'sadness': 0.0062, 'joy': 0.0082}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7606,0.6436,0.7606,0.4357,0.7681,0.5899,0.7681,0.6673,0.4623,0.6835,0.4623,0.2956,0.5069,not-balanced,70,10,kbest,"['fear', 'sadness', 'disgust', 'joy']","{'fear': 0.004, 'sadness': 0.004, 'disgust': 0.0027, 'joy': 0.0023}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7425,0.6289,0.7425,0.4504,0.7801,0.6782,0.7801,0.7069,0.4618,0.4475,0.4618,0.3188,0.4921,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy']","{'fear': 0.0196, 'anger': 0.0096, 'anticipation': 0.0196, 'trust': 0.0186, 'surprise': 0.024, 'sadness': 0.0193, 'disgust': 0.0158, 'joy': 0.0204}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7596,0.6387,0.7596,0.4444,0.756,0.5756,0.756,0.6536,0.4614,0.4547,0.4614,0.3026,0.5125,not-balanced,80,10,kbest,"['fear', 'anger', 'anticipation', 'sadness', 'joy']","{'fear': 0.0105, 'anger': 0.0072, 'anticipation': 0.0088, 'sadness': 0.0103, 'joy': 0.0089}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7503,0.6461,0.7503,0.4538,0.7048,0.5666,0.7048,0.6223,0.4614,0.4427,0.4614,0.3242,0.4935,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy']","{'fear': 0.026, 'anger': 0.0112, 'anticipation': 0.0273, 'trust': 0.0248, 'surprise': 0.019, 'sadness': 0.0256, 'disgust': 0.0139, 'joy': 0.0256}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7446,0.6286,0.7446,0.451,0.753,0.6216,0.753,0.665,0.4614,0.4565,0.4614,0.3171,0.495,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy']","{'fear': 0.0193, 'anger': 0.0123, 'anticipation': 0.0155, 'trust': 0.0173, 'surprise': 0.0185, 'sadness': 0.0242, 'disgust': 0.0142, 'joy': 0.0123}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7449,0.6502,0.7449,0.4559,0.75,0.5949,0.75,0.6635,0.4614,0.4473,0.4614,0.3192,0.5009,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy']","{'fear': 0.0252, 'anger': 0.0143, 'anticipation': 0.0185, 'trust': 0.0158, 'surprise': 0.0196, 'sadness': 0.0208, 'disgust': 0.0158, 'joy': 0.0096}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7573,0.6128,0.7573,0.4373,0.762,0.593,0.762,0.667,0.4614,0.4782,0.4614,0.2997,0.4834,not-balanced,70,10,kbest,"['fear', 'anticipation', 'trust', 'joy']","{'fear': 0.0038, 'anticipation': 0.0068, 'trust': 0.0054, 'joy': 0.0056}",DecisionTreeClassifier()
DecisionTreeClassifier,0.7603,0.6097,0.7603,0.4359,0.738,0.5563,0.738,0.6344,0.4614,0.4571,0.4614,0.2998,0.5269,not-balanced,70,10,kbest,"['fear', 'anticipation', 'sadness', 'joy']","{'fear': 0.0068, 'anticipation': 0.0076, 'sadness': 0.0066, 'joy': 0.0085}",DecisionTreeClassifier()
