Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.746,0.6183,0.746,0.4376,0.7432,0.5803,0.7432,0.6518,0.4623,0.4672,0.4623,0.3091,0.4789,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy']","{'fear': 0.0269, 'anger': 0.0116, 'anticipation': 0.0154, 'trust': 0.0165, 'surprise': 0.0167, 'sadness': 0.0218, 'disgust': 0.0117, 'joy': 0.0179}",RandomForestClassifier()
RandomForestClassifier,0.7513,0.6326,0.7513,0.4379,0.8072,0.6605,0.8072,0.7265,0.4623,0.5065,0.4623,0.3014,0.4817,not-balanced,80,10,kbest,"['fear', 'anger', 'trust', 'sadness', 'joy']","{'fear': 0.0083, 'anger': 0.006, 'trust': 0.0082, 'sadness': 0.0088, 'joy': 0.006}",RandomForestClassifier()
RandomForestClassifier,0.7553,0.6306,0.7553,0.4407,0.7831,0.7231,0.7831,0.6934,0.4614,0.4847,0.4614,0.2982,0.5222,not-balanced,80,10,kbest,"['fear', 'surprise', 'sadness', 'disgust', 'joy']","{'fear': 0.0084, 'surprise': 0.0085, 'sadness': 0.0127, 'disgust': 0.0074, 'joy': 0.0054}",RandomForestClassifier()
RandomForestClassifier,0.7543,0.6047,0.7543,0.4361,0.7952,0.6323,0.7952,0.7045,0.4614,0.4571,0.4614,0.2998,0.5021,not-balanced,70,10,kbest,"['fear', 'anticipation', 'sadness', 'joy']","{'fear': 0.0054, 'anticipation': 0.0094, 'sadness': 0.0069, 'joy': 0.0083}",RandomForestClassifier()
RandomForestClassifier,0.7496,0.6146,0.7496,0.4362,0.8012,0.7004,0.8012,0.7235,0.4614,0.4812,0.4614,0.299,0.4852,not-balanced,70,10,kbest,"['fear', 'trust', 'sadness', 'joy']","{'fear': 0.005, 'trust': 0.005, 'sadness': 0.0047, 'joy': 0.0052}",RandomForestClassifier()
RandomForestClassifier,0.7499,0.6214,0.7499,0.4445,0.7199,0.5748,0.7199,0.6229,0.4614,0.4475,0.4614,0.3095,0.5097,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy']","{'fear': 0.0196, 'anger': 0.0114, 'anticipation': 0.0175, 'trust': 0.0187, 'surprise': 0.0148, 'sadness': 0.0224, 'disgust': 0.0127, 'joy': 0.0198}",RandomForestClassifier()
RandomForestClassifier,0.7587,0.6543,0.7587,0.4416,0.7644,0.5842,0.7644,0.6623,0.461,0.4394,0.461,0.3004,0.5052,not-balanced,70,10,kbest,"['fear', 'anticipation', 'sadness', 'joy']","{'fear': 0.0068, 'anticipation': 0.0096, 'sadness': 0.0088, 'joy': 0.0081}",RandomForestClassifier()
RandomForestClassifier,0.763,0.6096,0.763,0.437,0.7319,0.61,0.7319,0.6291,0.461,0.4945,0.461,0.2965,0.5015,not-balanced,70,10,kbest,"['fear', 'sadness', 'disgust', 'joy']","{'fear': 0.0051, 'sadness': 0.0038, 'disgust': 0.0037, 'joy': 0.0027}",RandomForestClassifier()
RandomForestClassifier,0.764,0.5972,0.764,0.4345,0.7169,0.5289,0.7169,0.6087,0.4606,0.4279,0.4606,0.2981,0.4863,not-balanced,70,10,kbest,"['fear', 'anger', 'anticipation', 'joy']","{'fear': 0.005, 'anger': 0.004, 'anticipation': 0.0055, 'joy': 0.0052}",RandomForestClassifier()
RandomForestClassifier,0.76,0.5798,0.76,0.4316,0.7982,0.6502,0.7982,0.7166,0.4606,0.5259,0.4606,0.2927,0.4759,not-balanced,60,10,kbest,"['fear', 'trust']","{'fear': 0.0003, 'trust': 0.0005}",RandomForestClassifier()
RandomForestClassifier,0.7573,0.631,0.7573,0.4371,0.75,0.6239,0.75,0.6559,0.4606,0.4418,0.4606,0.305,0.4943,not-balanced,80,10,kbest,"['fear', 'anger', 'anticipation', 'sadness', 'joy']","{'fear': 0.0092, 'anger': 0.0072, 'anticipation': 0.0091, 'sadness': 0.0125, 'joy': 0.0068}",RandomForestClassifier()
RandomForestClassifier,0.76,0.6216,0.76,0.4357,0.753,0.6365,0.753,0.6575,0.4606,0.4261,0.4606,0.301,0.494,not-balanced,70,10,kbest,"['fear', 'anticipation', 'sadness', 'joy']","{'fear': 0.0074, 'anticipation': 0.0082, 'sadness': 0.0082, 'joy': 0.0088}",RandomForestClassifier()
RandomForestClassifier,0.76,0.6299,0.76,0.4411,0.7139,0.5283,0.7139,0.6072,0.4606,0.4473,0.4606,0.3022,0.4833,not-balanced,80,10,kbest,"['fear', 'anger', 'anticipation', 'sadness', 'joy']","{'fear': 0.008, 'anger': 0.0065, 'anticipation': 0.0078, 'sadness': 0.0104, 'joy': 0.0062}",RandomForestClassifier()
